family,condition,rho,replicate,n_emitted,marker_fraction,kl_to_full,kl_to_designated,novelty,diversity,gap_fraction,valid_fraction
Kunitz,multiplicity,1.0,1,620,0.29193548387096774,0.00023693348114771611,0.00501669254742451,0.5148170735404054,0.6375322354776454,0.0038648813146682937,1.0
Kunitz,multiplicity,1.0,2,620,0.3225806451612903,0.00046598925285881894,0.006515959106228379,0.5129250283263274,0.6361006633180606,0.004290931223371885,1.0
Kunitz,multiplicity,1.0,3,620,0.28225806451612906,0.00035830797439059727,0.005034878150917024,0.5118592079933253,0.6286906438240512,0.0036518563603164965,1.0
Kunitz,multiplicity,1.0,4,620,0.3209677419354839,0.0003403259422249182,0.005218135140497189,0.5132791361312542,0.6352778024417314,0.004047474132684119,1.0
Kunitz,multiplicity,1.0,5,620,0.31129032258064515,0.000535686555584723,0.005098944931668168,0.5134893096805184,0.6330951628837311,0.004230066950699944,1.0
Kunitz,multiplicity,2.0,1,620,0.4483870967741935,0.0006258110536296745,0.003242050325026872,0.5086398549447411,0.6303228758169934,0.0034692635423006707,1.0
Kunitz,multiplicity,2.0,2,620,0.49838709677419357,0.0002973230517968858,0.0037426073486470186,0.5079472412683419,0.626938343910375,0.004047474132684121,1.0
Kunitz,multiplicity,2.0,3,620,0.47419354838709676,0.00027734257731643183,0.004108294165593135,0.5070075176097877,0.6282256818160259,0.0037735849056603817,1.0
Kunitz,multiplicity,2.0,4,620,0.4629032258064516,0.0006578534692898574,0.002859031000767747,0.509081898024438,0.6334065572431198,0.003986609860012178,1.0
Kunitz,multiplicity,2.0,5,620,0.4806451612903226,0.0005299508073577929,0.0030831576183692963,0.5076397593074409,0.631194543458409,0.0036214242239805245,1.0
Kunitz,multiplicity,5.0,1,620,0.6870967741935484,0.002154271822001141,0.0013301731375755228,0.4966353297721545,0.6138999123597189,0.0033779671332927583,1.0
Kunitz,multiplicity,5.0,2,620,0.6790322580645162,0.0017340144239670215,0.0014198805769905804,0.5011406588947672,0.6153264531579237,0.003530127814972614,1.0
Kunitz,multiplicity,5.0,3,620,0.6887096774193548,0.0015390657501457362,0.0016943074546675253,0.4985340104392335,0.6125670442148798,0.0036822884966524697,1.0
Kunitz,multiplicity,5.0,4,620,0.7338709677419355,0.0018802651700976516,0.001381669721732785,0.5011152712407587,0.6148278256827646,0.003317102860620816,1.0
Kunitz,multiplicity,5.0,5,620,0.7306451612903225,0.0017692087581878814,0.0017884753016900272,0.49986947046246777,0.6109868786411516,0.004838709677419368,1.0
Kunitz,multiplicity,10.0,1,620,0.8419354838709677,0.0030481207614438985,0.0007579290136490065,0.49432926791204324,0.6003348634470721,0.0031345100426049904,1.0
Kunitz,multiplicity,10.0,2,620,0.8048387096774193,0.00313910382195905,0.0004460597117427382,0.49394747174584963,0.6067536004629234,0.0031345100426049904,1.0
Kunitz,multiplicity,10.0,3,620,0.832258064516129,0.0030438797962992602,0.000660723802474872,0.49380189918563033,0.6104614606752232,0.0031649421789409615,1.0
Kunitz,multiplicity,10.0,4,620,0.8161290322580645,0.0031607188245274297,0.00048412873658362516,0.4922050469609631,0.6055431761480596,0.0028606208155812535,1.0
Kunitz,multiplicity,10.0,5,620,0.8064516129032258,0.003387761932009495,0.0005086635649896544,0.4941047288923527,0.6090515648844639,0.003743152769324412,1.0
Kunitz,multiplicity,20.0,1,620,0.9048387096774193,0.0035085741370633945,0.0003420169192560817,0.4878911080327065,0.596064439321931,0.0028606208155812535,1.0
Kunitz,multiplicity,20.0,2,620,0.8887096774193548,0.004135648456781656,0.00033132240312233217,0.487058583468969,0.6001651052486789,0.00398660986001218,1.0
Kunitz,multiplicity,20.0,3,620,0.8903225806451613,0.0037637968034734174,0.000501541095350617,0.49159100952989454,0.6009616627299202,0.0036214242239805267,1.0
Kunitz,multiplicity,20.0,4,620,0.917741935483871,0.004345764562603028,0.00030716901725164254,0.48655378445211994,0.5963276081598581,0.0038040170419963533,1.0
Kunitz,multiplicity,20.0,5,620,0.9032258064516129,0.005352554023008172,0.00024874952130892196,0.4895403976282209,0.6026819791874176,0.003712720632988439,1.0
Kunitz,multiplicity,50.0,1,620,0.9596774193548387,0.005508322466705196,0.0004365465450673853,0.48582872995632953,0.6013553079674057,0.0034388314059647005,1.0
Kunitz,multiplicity,50.0,2,620,0.9629032258064516,0.004707591484212085,0.0002747676441322332,0.48696144482419523,0.5889797423565458,0.0034083992696287294,1.0
Kunitz,multiplicity,50.0,3,620,0.9661290322580646,0.0048804441406025325,0.000317861763862498,0.4859181370942487,0.5938896952104499,0.0030127814972611073,1.0
Kunitz,multiplicity,50.0,4,620,0.9435483870967742,0.004504693939114012,0.00025422417534869406,0.4853582408664565,0.5929809945264994,0.0035605599513085845,1.0
Kunitz,multiplicity,50.0,5,620,0.967741935483871,0.004550148190173093,0.00029817191820553273,0.48285601238950526,0.5864852139597978,0.003347534996956787,1.0
Kunitz,multiplicity,100.0,1,620,0.9870967741935484,0.005345550457818078,0.0002502162234733881,0.4843938450889501,0.5889352286633086,0.004017041996348152,1.0
Kunitz,multiplicity,100.0,2,620,0.9822580645161291,0.004948091219100735,0.00017517788081806073,0.4831246689415025,0.5946402145763965,0.003712720632988441,1.0
Kunitz,multiplicity,100.0,3,620,0.9822580645161291,0.006397020976555376,0.0003951318150682798,0.48481536230766376,0.5849505060853563,0.0032562385879488735,1.0
Kunitz,multiplicity,100.0,4,620,0.9725806451612903,0.004953095711073132,0.00022902487366275326,0.48432545310834574,0.5888559719969264,0.0038344491783323252,1.0
Kunitz,multiplicity,100.0,5,620,0.9741935483870968,0.005513519937545909,0.00021683093240347962,0.48538310754799496,0.5866174099054233,0.0029214850882531953,1.0
Kunitz,multiplicity,500.0,1,620,0.9935483870967742,0.005719934015108537,0.00026826174790754893,0.4865437401141448,0.5927823311230637,0.0034083992696287294,1.0
Kunitz,multiplicity,500.0,2,620,0.9983870967741936,0.006157771894087892,0.0002581287936521861,0.48268962250380654,0.5856041957179582,0.0034388314059647005,1.0
Kunitz,multiplicity,500.0,3,620,0.9967741935483871,0.0052441284476747434,0.00015808743077615824,0.48566105898326284,0.5925354781486857,0.0036822884966524697,1.0
