family,condition,rho,n_emitted,marker_fraction_mean,marker_fraction_std,kl_to_full_mean,kl_to_full_std,kl_to_designated_mean,kl_to_designated_std,novelty_mean,novelty_std,diversity_mean,diversity_std,gap_fraction_mean,gap_fraction_std,valid_fraction_mean,valid_fraction_std
Kunitz,multiplicity,1.0,620,0.3058064516129032,0.017946040058969184,0.0003874486412413547,0.00011604702448493812,0.005376921975347055,0.0006416091683869117,0.5132739511343661,0.0010666393754106564,0.634139301589044,0.0034435890242590543,0.004017041996348147,0.0002635500315838227,1.0,0.0
Kunitz,multiplicity,2.0,620,0.47290322580645155,0.018788764991514162,0.0004776561918781285,0.0001801396917989747,0.003407028091680814,0.0005091164166349195,0.50806325423095,0.0008181519315124796,0.6300176004489846,0.002532597938282729,0.003779671332927575,0.0002428858178847853,1.0,0.0
Kunitz,multiplicity,5.0,620,0.7038709677419355,0.026196646884906583,0.0018153651848798863,0.00022592003918786802,0.0015229012385312882,0.0002047030733112543,0.4994589481618764,0.0019084297400994757,0.6135216228112877,0.0017637197771190605,0.0037492391965916055,0.0006253045018678584,1.0,0.0
Kunitz,multiplicity,10.0,620,0.8203225806451613,0.01627354613629606,0.0031559170272478275,0.00013984829015136155,0.0005715009658879793,0.00013231976912710322,0.4936776829393678,0.0008461388218560186,0.6064289331235484,0.003910471049982693,0.0032075471698113215,0.00032392718419318973,1.0,0.0
Kunitz,multiplicity,20.0,620,0.9009677419354839,0.01188524737221969,0.004221267596585933,0.0007106072410362639,0.00034615979125791907,9.406075468254835e-5,0.48852697662238215,0.0020536135499714114,0.5992401589295613,0.0029254646950388984,0.00359707851491175,0.0004332706944665735,1.0,0.0
Kunitz,multiplicity,50.0,620,0.96,0.00970426384289762,0.004830240044161384,0.0004067525677552958,0.00031631440932326863,7.13593750121092e-5,0.48538451302614705,0.0015299348775917145,0.5927381908041397,0.005675942177292971,0.003353621424223982,0.00020572664371461548,1.0,0.0
Kunitz,multiplicity,100.0,620,0.9796774193548388,0.006099248516512593,0.005431455660418645,0.000593485478636358,0.0002532763450851923,8.388699362979314e-5,0.4844084873988915,0.0008322755776493686,0.5887998662454822,0.0036644177158365217,0.0035483870967741972,0.0004491189486152994,1.0,0.0
Kunitz,multiplicity,500.0,620,0.9961290322580645,0.0018389926211276686,0.005640265623011743,0.00037001105081146176,0.00023125001762614532,4.468540312038974e-5,0.48412788492521325,0.0019178029149904256,0.5899647637477826,0.002987982711688749,0.003566646378575779,0.00013159919848107043,1.0,0.0
Kunitz,designated_subset,,620,0.9670967741935484,0.00517638920512295,0.0051372016854777745,0.0004787591893801312,0.0006823333357995,0.00024916954098120795,0.5006539066640281,0.0002651180075410473,0.6130630252633227,0.0022307857739886187,0.004327449786975054,0.0002742271534039905,1.0,0.0
SH3,multiplicity,1.0,620,0.5448387096774194,0.013123126197940644,0.00039599111972838036,7.662674176208636e-5,0.004718811261009257,0.0003008284417913042,0.5725652007653935,0.0011512591029926096,0.7114079924751973,0.003345738103319817,0.024939516129032287,0.0012853426526677788,1.0,0.0
SH3,multiplicity,2.0,620,0.7190322580645161,0.012771505093438149,0.0007566313573424142,0.0001537262280781177,0.0021086685212309752,0.00021739493026677365,0.5603804121161842,0.0017009468389647593,0.6962294000384568,0.005364426951208595,0.025692204301075282,0.0008321537133116426,1.0,0.0
SH3,multiplicity,5.0,620,0.8587096774193549,0.004918693768379632,0.0023559225374098097,0.00023457627567306813,0.0007850898033534839,0.00016911365738535284,0.5470475728487724,0.0013767376712601038,0.6787759812767914,0.004364333925397024,0.026209677419354864,0.0005156589130787182,1.0,0.0
SH3,multiplicity,10.0,620,0.927741935483871,0.006974757519496654,0.0030515796809668307,0.0003841769037407863,0.0004288163815102431,0.00013100932673399998,0.5405612930798196,0.0009310209443711023,0.6646112176590362,0.0032540145210205682,0.026586021505376374,0.0010436700298328144,1.0,0.0
SH3,multiplicity,20.0,620,0.9661290322580646,0.007565186709392641,0.00401480363446998,0.0007564235835543315,0.00027891790393327095,7.351894496651629e-5,0.536143442936939,0.0015322264742909624,0.6595713988712036,0.0038380554989292104,0.026774193548387105,0.0009182060474898198,1.0,0.0
SH3,multiplicity,50.0,620,0.9858064516129031,0.002885249003225536,0.0038966008513532644,0.00032726513086044155,0.00027908052188397686,5.948114130207542e-5,0.5364759019967966,0.0017661591495462294,0.6600804912882897,0.002373312253850997,0.025987903225806464,0.0007371824779786979,1.0,0.0
SH3,multiplicity,100.0,620,0.9890322580645161,0.0021029685178073263,0.004209690594063616,0.00027177747993742087,0.00027977317203841426,4.8670097360081294e-5,0.5329541780732383,0.0017639932175168088,0.6541571691958591,0.006164819213871227,0.026680107526881734,0.0012592963509034604,1.0,0.0
SH3,multiplicity,500.0,620,0.9990322580645163,0.0008834234798470292,0.004240608980574177,0.00038957837517539717,0.0002274458536337857,6.395165720390805e-5,0.5336812121877155,0.0007300336048974607,0.6550943355878569,0.0023618939324088033,0.02686155913978496,0.0008958613136818742,1.0,0.0
SH3,designated_subset,,620,0.9919354838709677,0.003782593354696306,0.003927059528780381,0.0002576943345170806,0.0006256106919949498,6.230524005996014e-5,0.55152318301822,0.0014783669023113856,0.6841972956800154,0.003261297316204281,0.028178763440860226,0.000317535877820617,1.0,0.0
WW,multiplicity,1.0,620,0.15258064516129033,0.01204828993353748,0.00040907728340221764,8.76686806403938e-5,0.013911836739616195,0.0006198188022332016,0.4802125392591673,0.0017227085622738235,0.6771774397576771,0.003986589933830202,0.01761706555671185,0.0007063326539665157,1.0,0.0
WW,multiplicity,2.0,620,0.2906451612903226,0.013893455140230977,0.0007618460742496187,0.00017778296308221212,0.008991947009980905,0.0005154597559086266,0.4786533083507599,0.0014731681701536654,0.6756995307558452,0.00568554787909047,0.018584807492195748,0.000829534379495196,1.0,0.0
WW,multiplicity,5.0,620,0.4909677419354839,0.011939842273110814,0.002452456859857543,0.00027975126454669896,0.0046344632400944635,0.00036412463125901724,0.4731902325145169,0.002044667085577708,0.6649577408927057,0.004225832049681835,0.01931321540062449,0.0008717015595654439,1.0,0.0
WW,multiplicity,10.0,620,0.6616129032258066,0.012566162052117712,0.004214670361243917,0.00034893734939059546,0.002796502867864275,0.0003542698594551422,0.46848977033049766,0.0020372281909463697,0.6553997067393803,0.002803130519946632,0.019698231009365394,0.0005275251552814534,1.0,0.0
WW,multiplicity,20.0,620,0.7896774193548387,0.017431298175621012,0.007442152123300275,0.0003710147591194163,0.0009904099734370255,8.294300798674192e-5,0.4650590976376428,0.0011242954224378343,0.6468182725073713,0.004910571802743776,0.020156087408949176,0.0003091248861084995,1.0,0.0
WW,multiplicity,50.0,620,0.9119354838709677,0.017763916002914,0.010347070028598178,0.0007074819590935234,0.0003641956193194293,7.79736724442419e-5,0.45851211829874405,0.00178599053131551,0.6276141617278064,0.005441597335541034,0.020967741935484042,0.000601156087840356,1.0,0.0
WW,multiplicity,100.0,620,0.9538709677419355,0.004784644185223013,0.010537576904196542,0.000616661513831347,0.00044881101599311067,0.00015564997184473902,0.4602007148524234,0.0005200877888154867,0.630394959518022,0.002566457610002693,0.020686784599375823,0.000523662336736167,1.0,0.0
WW,multiplicity,500.0,620,0.9883870967741935,0.004174896485659593,0.011492693160611217,0.0012251336628736915,0.00030129057951625026,0.00013205875749119203,0.4583956264769345,0.0021811016534637583,0.6276381111287673,0.0032143063271664603,0.021259105098855542,0.0007580914765267203,1.0,0.0
WW,designated_subset,,620,0.9912903225806451,0.004918693768379663,0.010826112901155687,0.0013522641318228375,0.001015207872441431,0.00020149566450296702,0.47376861588448227,0.0010103298331790918,0.6502061829171801,0.00514548997362708,0.02288241415192529,0.0004968714416779892,1.0,0.0
Homeobox,multiplicity,1.0,620,0.7212903225806452,0.019267275043894125,0.0002259644052476608,8.579022260868717e-5,0.0014269059235865703,0.00023246494659818104,0.49971586254203093,0.0010665005258818762,0.6433413224870194,0.0022919613848164893,0.0006055461233729486,0.00018619902519934466,1.0,0.0
Homeobox,multiplicity,2.0,620,0.8448387096774195,0.006183964358929302,0.0004964290306874314,0.000124380633159858,0.0005083701672395147,0.00010511360988007252,0.48721152807398377,0.0011608203572134963,0.6303620394054191,0.0049797145931122005,0.0006847764572722127,0.00030502576068391316,1.0,0.0
Homeobox,multiplicity,5.0,620,0.9329032258064516,0.014088688904466103,0.0007682699240738777,0.00011922261471989164,0.00030190901391773095,6.588163710954519e-5,0.4791382410898558,0.0013937558305779452,0.617678856653418,0.0023572365302301553,0.0004980192416525184,0.0001883368567322438,1.0,0.0
Homeobox,multiplicity,10.0,620,0.9690322580645161,0.009903278343876613,0.0011052700341968565,0.0002886835702210423,0.00020815654601167552,6.367059727652834e-5,0.47496629587164607,0.0014019771176263889,0.6132195678590415,0.002242804342364487,0.0008149405772495755,0.00024456469084699377,1.0,0.0
Homeobox,multiplicity,20.0,620,0.9858064516129031,0.00551697786338295,0.0013177927874686887,0.00015224854511684062,0.00016010682291369072,3.653113984110006e-5,0.47271679684126616,0.0018575234114348227,0.6088235138303162,0.002954616059013971,0.0007753254102999434,0.00027405319779973407,1.0,0.0
Homeobox,multiplicity,50.0,620,0.9948387096774194,0.002650270439541128,0.0012736053266069643,0.00017868207216242553,0.00016446084678117898,6.958715674287353e-5,0.47090703297834297,0.0014057238917032043,0.6075655502392345,0.0028701475589909676,0.0007130730050933786,0.00022136510713761118,1.0,0.0
Homeobox,multiplicity,100.0,620,0.9948387096774194,0.002650270439541145,0.001371745600561384,0.0002919370630873411,0.00021431320862885637,6.649210713958643e-5,0.47086957863868095,0.0016028790247869893,0.6054003189792663,0.00216501875333446,0.0007357102433503112,0.00020008680848515774,1.0,0.0
Homeobox,multiplicity,500.0,620,0.9996774193548387,0.0007213122508063732,0.0012430580998640394,0.00011135373813242137,0.00013490741816903342,1.7228795625748175e-5,0.47043545814683546,0.00034982639924117513,0.6054103136629453,0.004193776297077896,0.0006791171477079796,8.94815410347589e-5,1.0,0.0
Homeobox,designated_subset,,620,0.9990322580645161,0.0008834234798470292,0.0014730568974061543,0.00013581255906849904,0.00028962999226925734,7.724667221561875e-5,0.47862894061724737,0.0014624089697243489,0.6176954226346967,0.003011062428811357,0.0010469722693831353,0.00023247986311764247,1.0,0.0
Forkhead,multiplicity,1.0,620,0.49225806451612897,0.022331575662995477,0.00015409776027371663,5.703105378209615e-5,0.0006637658064460754,8.122654251698038e-5,0.44444009167422627,0.0014005660802021396,0.5723527979977128,0.0017292663504052703,0.014568038561364455,0.0007640950764837678,1.0,0.0
Forkhead,multiplicity,2.0,620,0.6635483870967742,0.00873056038885442,0.00020675000130823437,2.1760980824045848e-5,0.00036593449216382494,0.0001008341862651047,0.4447052610808246,0.0006910111990626822,0.5721173030255253,0.003636780801930409,0.014627363737486066,0.0007446866061696195,1.0,0.0
Forkhead,multiplicity,5.0,620,0.8193548387096774,0.015343788379387435,0.0003616502274613931,9.163932383092371e-5,0.00019014846375365642,3.326813290422845e-5,0.4454436598571663,0.0010966380442506622,0.5689790044134995,0.0027935499984174618,0.013919169447534283,0.0004893414033786583,1.0,0.0
Forkhead,multiplicity,10.0,620,0.9016129032258065,0.01051484258903653,0.0004268789483767608,5.906641445357206e-5,0.00014276721083098513,4.4968047697134234e-5,0.4457741696307756,0.0013303832338371201,0.5657562574620135,0.002400764362464872,0.01236559139784945,0.0006736871453691711,1.0,0.0
Forkhead,multiplicity,20.0,620,0.9403225806451612,0.010072577416771627,0.0004592686470918329,8.878989293433018e-5,0.00010375829293226115,6.038887325603996e-5,0.44513164901576696,0.001069398139711079,0.5651464410650251,0.002322225882529156,0.012862439747867997,0.0005861704269444533,1.0,0.0
Forkhead,multiplicity,50.0,620,0.9787096774193549,0.008936706565932312,0.0004985972960771448,8.248390421001587e-5,0.00012484383946266198,4.499075572628881e-5,0.443646275788206,0.0006768202824030423,0.562667187899442,0.0015595779400027852,0.013303670745272505,0.0004765671194085162,1.0,0.0
Forkhead,multiplicity,100.0,620,0.9912903225806451,0.0038843853479975177,0.0005719022912711389,0.0001526144247921023,0.00011578032481344402,7.55883121701557e-5,0.4451704629676489,0.0013707617928189302,0.5609909444120955,0.003738914801624094,0.012721542454579154,0.0008050546418077343,1.0,0.0
Forkhead,multiplicity,500.0,620,0.9970967741935484,0.001349451655700142,0.0005189916832083213,9.55607487197706e-5,0.00012648689044057886,3.567569141123703e-5,0.4443689183453957,0.000743180679214839,0.561810095986114,0.0022325163625172575,0.012550982573229499,0.0002657632774718453,1.0,0.0
Forkhead,designated_subset,,620,0.9990322580645163,0.0014426245016127463,0.0005897014746035985,9.277349159384189e-5,0.00016569517349786646,5.749935394051507e-5,0.45341658187292405,0.0015835693090951988,0.577818453767064,0.0015265167383139134,0.012947719688542808,0.00035336355609012055,1.0,0.0
Conotoxin,multiplicity,1.0,620,0.31967741935483873,0.018788764991514155,0.0012842493007230072,0.0004836889101345122,0.18143327510458512,0.0033022172165566937,0.43319853273096126,0.0027129329345552703,0.599030201723863,0.0043677761437252395,0.04733250620347421,0.001517633973042814,1.0,0.0
Conotoxin,multiplicity,2.0,620,0.4348387096774194,0.020830818439952173,0.006693838854896617,0.0009661688791249887,0.12257596562673498,0.003880641780763999,0.39347257428429216,0.0015963978095905507,0.5705839494990983,0.00397073357377182,0.04066997518610439,0.0008410226962820311,1.0,0.0
Conotoxin,multiplicity,5.0,620,0.6012903225806452,0.017719927699319037,0.04342320665614992,0.0014166368610064207,0.058633566616611565,0.0012879987925667636,0.3279165006400115,0.004731518366247114,0.5110421892676356,0.006729647583979646,0.03347394540942937,0.0009454957203867405,1.0,0.0
Conotoxin,multiplicity,10.0,620,0.6761290322580645,0.01996354638292361,0.08982883164648676,0.0016637263552316617,0.0307960625974815,0.0005740574730693606,0.2863178143583454,0.004111212618817279,0.46891626156452243,0.0048758417163095695,0.031674937965260594,0.0006916247509761292,1.0,0.0
Conotoxin,multiplicity,20.0,620,0.7638709677419355,0.007785495732998202,0.1496993308843922,0.006811141831599886,0.01453299080568789,0.0012284065288514117,0.2564607996096229,0.001789835827272799,0.42671757282382006,0.006884743862696534,0.02870967741935484,0.000885381569016613,1.0,0.0
Conotoxin,multiplicity,50.0,620,0.7925806451612903,0.018162178400334534,0.2344552123631635,0.006497231914545695,0.005360789060403091,0.00047120657204549843,0.23550095159408063,0.00042508833715920914,0.3989677464081812,0.007741728726183169,0.0266129032258064,0.0008311266133358931,1.0,0.0
Conotoxin,multiplicity,100.0,620,0.8019354838709678,0.01417153718483148,0.295825990797787,0.014758352900642292,0.0026338793650780346,0.00042096006154466634,0.22785173626385147,0.0022815807415877674,0.3862991106478063,0.0008826145771349879,0.02579404466501235,0.0010083269366391665,1.0,0.0
Conotoxin,multiplicity,500.0,620,0.8341935483870968,0.012973598420767904,0.49951026657689024,0.09889323890728668,0.0007629209114394083,0.00011884603667427713,0.2244303036149103,0.0016725193476334614,0.38097953650214517,0.0061674120888606495,0.0240570719602977,0.0006730125982687596,1.0,0.0
