rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.4959349593495935,0.5290322580645161,0.4849868141296568,0.48643678160919535
1.0,2,0.4959349593495935,0.5274193548387097,0.48384216586787626,0.4854789272030652
1.0,3,0.4959349593495935,0.5370967741935484,0.48438197169999675,0.48157088122605374
1.0,4,0.4959349593495935,0.5209677419354839,0.481670194387373,0.488007662835249
1.0,5,0.4959349593495935,0.5193548387096775,0.47984766856752015,0.4875478927203065
2.0,1,0.6630434782608695,0.5693548387096774,0.6509160302957286,0.47095785440613036
2.0,2,0.6630434782608695,0.5693548387096774,0.6491895506660252,0.4677011494252875
2.0,3,0.6630434782608695,0.5887096774193549,0.6501243144346646,0.46992337164750964
2.0,4,0.6630434782608695,0.5951612903225807,0.6530379667077193,0.46731800766283527
2.0,5,0.6630434782608695,0.5951612903225807,0.6544779562420154,0.4702298850574713
5.0,1,0.8310626702997275,0.6161290322580645,0.8238719836476686,0.4701915708812261
5.0,2,0.8310626702997275,0.617741935483871,0.825086600464943,0.4653639846743296
5.0,3,0.8310626702997275,0.6274193548387097,0.8286949916235392,0.46942528735632194
5.0,4,0.8310626702997275,0.6338709677419355,0.8280855773511491,0.4668582375478928
5.0,5,0.8310626702997275,0.646774193548387,0.8287051308267537,0.47199233716475086
10.0,1,0.9077380952380952,0.6806451612903226,0.9014198907051291,0.45463601532567044
10.0,2,0.9077380952380952,0.682258064516129,0.9041223956885103,0.4490421455938697
10.0,3,0.9077380952380952,0.6790322580645162,0.9044698293606946,0.45272030651341
10.0,4,0.9077380952380952,0.6774193548387096,0.9055659089834174,0.45716475095785447
10.0,5,0.9077380952380952,0.6709677419354839,0.9051332624851759,0.45249042145593865
20.0,1,0.9516380655226209,0.6790322580645162,0.9507508173959122,0.45582375478927206
20.0,2,0.9516380655226209,0.6741935483870968,0.9508119810417868,0.45444444444444443
20.0,3,0.9516380655226209,0.6806451612903226,0.9503955243359433,0.4560536398467434
20.0,4,0.9516380655226209,0.6870967741935484,0.9503896771257561,0.45272030651341
20.0,5,0.9516380655226209,0.6854838709677419,0.9501577327623133,0.4522605363984674
50.0,1,0.9800771208226221,0.7032258064516129,0.9797293876606322,0.4352490421455939
50.0,2,0.9800771208226221,0.6983870967741935,0.979350464473249,0.43398467432950205
50.0,3,0.9800771208226221,0.682258064516129,0.9791543079762938,0.4357471264367817
50.0,4,0.9800771208226221,0.6741935483870968,0.9784037323305159,0.4319157088122606
50.0,5,0.9800771208226221,0.6806451612903226,0.9785501720637683,0.4367049808429121
100.0,1,0.9899383317104836,0.7048387096774194,0.9897259228695392,0.41819923371647505
100.0,2,0.9899383317104836,0.7032258064516129,0.9897779528527835,0.423256704980843
100.0,3,0.9899383317104836,0.6935483870967742,0.9895558241045002,0.41517241379310366
100.0,4,0.9899383317104836,0.6854838709677419,0.9906302746234825,0.4190804597701149
100.0,5,0.9899383317104836,0.6758064516129032,0.9904611510315651,0.41865900383141763
500.0,1,0.9979713369543878,0.7129032258064516,0.9979540744332098,0.3986590038314177
500.0,2,0.9979713369543878,0.6951612903225807,0.9979234089459169,0.39754789272030655
500.0,3,0.9979713369543878,0.7016129032258065,0.9977786475161681,0.399616858237548
500.0,4,0.9979713369543878,0.7048387096774194,0.9977697318850623,0.39835249042145604
500.0,5,0.9979713369543878,0.6983870967741935,0.9976846021978732,0.39651340996168605
