ρ,f_eff,f_obs,attn_A,diversity
1.0,0.4959349593495935,0.5559139784946237,0.4897160904148968,0.4801532567049809
2.0,0.6630434782608695,0.589247311827957,0.6547606099132204,0.4640613026819923
5.0,0.8310626702997275,0.6096774193548387,0.8258559534194513,0.4642528735632183
10.0,0.9077380952380952,0.6376344086021506,0.9039331771165763,0.4472413793103448
20.0,0.9516380655226209,0.6451612903225806,0.9497394364950954,0.44750957854406126
50.0,0.9800771208226221,0.6698924731182796,0.9788422468614209,0.431264367816092
100.0,0.9899383317104836,0.7096774193548387,0.9882342559357004,0.41651340996168573
200.0,0.9949437285923993,0.710752688172043,0.9938677244202844,0.4164750957854406
500.0,0.9979713369543878,0.7301075268817204,0.9977120769031795,0.39850574712643694
1000.0,0.9989846385640824,0.7301075268817204,0.9988711923531836,0.3984674329501917
