rho,f_eff,f_obs_mean,f_obs_std,attn_A_mean,attn_A_std,diversity_mean,diversity_std
1.0,0.4959349593495935,0.5435483870967741,0.003950789907714802,0.4768937266547771,0.0027053323873019604,0.4839923371647509,0.0019287677506737101
2.0,0.6630434782608695,0.5567741935483872,0.004016096644512484,0.6441747564087102,0.0016422065628264864,0.48101915708812265,0.0011894685226942086
5.0,0.8310626702997275,0.6112903225806452,0.005349394823153885,0.8198353579103795,0.0029638392503624506,0.4630881226053639,0.0020224296801592315
10.0,0.9077380952380952,0.6303225806451612,0.0031024813002695577,0.9037252363918477,0.001069854493494498,0.46085057471264373,0.002084763018490179
20.0,0.9516380655226209,0.6283870967741936,0.010735200833737902,0.9507206107280453,0.0014063121634121981,0.48260536398467435,0.002275100818284111
50.0,0.9800771208226221,0.6941935483870967,0.010046717098320928,0.9813771471370154,0.000413280647256485,0.43082758620689654,0.0022295756259876408
100.0,0.9899383317104836,0.7293548387096773,0.004016096644512478,0.9905252807736703,0.0001597214584258724,0.41560153256704985,0.0020551546994816592
500.0,0.9979713369543878,0.7587096774193548,0.006708591723575962,0.9982700188501397,0.00012220963688669805,0.3986436781609196,0.002828198752038232
