family,K,d_pca,K_A,natural_frac,separation_index,hard_curation_mean,hard_curation_std,cal_gap_mean,cal_gap_std
Kunitz,99,80,32,0.32323232323232326,0.19708968073153887,1.0,0.0,0.4145396394533375,0.005656670295725836
WW,420,186,333,0.7928571428571428,0.25064247181707433,1.0,0.0,0.10947775036467433,0.003677985242255286
