family,source,pfam_id,K,L,d_pca,K_A,K_B,marker,natural_frac,separation_index,hard_curation_mean,hard_curation_std,cal_gap_mean,cal_gap_std,fit_included
Kunitz,Pfam,PF00014,99,53,80,32,67,P1 K/R,0.32323232323232326,0.19708968073153887,1.0,0.0,0.41647512332430525,0.0063908428245674324,true
SH3,Pfam,PF00018,55,48,46,33,22,Trp,0.6,0.3385949631822444,1.0,0.0,0.00641037756110141,0.001349451655700102,true
WW,Pfam,PF00397,420,31,186,69,351,Spec. loop,0.16428571428571428,0.11145116988611777,1.0,0.0,0.6579930691117301,0.003677985242255293,true
Homeobox,Pfam,PF00046,136,57,101,102,34,Gln at pos. 50,0.75,0.4171956095135915,1.0,0.0,0.07965635812684013,0.0038507536730042944,true
Forkhead,Pfam,PF00250,246,87,172,122,124,H/N at H3,0.4959349593495935,0.16516502266769423,1.0,0.0,0.23926165953503298,0.006708591723575962,true
Conotoxin,SwissProt,,74,26,34,23,51,Tyr13,0.3108108108108108,0.778037470595139,0.9693548387096774,0.0036065612540319403,0.12203641075622562,0.011994188672631101,false
