family,K,d_pca,K_A,natural_frac,separation_index,hard_curation_frac,cal_gap_rho500
Kunitz,99,80,32,0.32323232323232326,0.19708968073153887,1.0,0.3651848007436601
SH3,55,46,33,0.6,0.3385949631822444,1.0,0.009958764657875485
WW,420,186,69,0.16428571428571428,0.11145116988611777,1.0,0.6302511336278591
Conotoxin,74,34,23,0.3108108108108108,0.778037470595139,1.0,0.14881060430461257
