ρ,f_eff,f_obs,attn_A,diversity
1.0,0.16428571428571428,0.12580645161290321,0.15562425967040955,0.6819354838709677
2.0,0.2822085889570552,0.14301075268817204,0.2699175211772036,0.6820430107526881
5.0,0.4956896551724138,0.17956989247311828,0.4840466100317588,0.681505376344086
10.0,0.6628242074927954,0.22365591397849463,0.6530850698762337,0.6670967741935483
20.0,0.7972270363951474,0.26129032258064516,0.7925100857541876,0.6667741935483871
50.0,0.9076558800315706,0.2956989247311828,0.9052092357039582,0.6535483870967742
100.0,0.9515928837401738,0.3021505376344086,0.9506767654430653,0.6533333333333333
200.0,0.9751960992156031,0.3387096774193548,0.9758835121961708,0.6352688172043011
500.0,0.9899285529826978,0.3473118279569892,0.9906021394380711,0.6350537634408602
1000.0,0.9949387896353333,0.3709677419354839,0.9956627366355507,0.6179569892473118
