rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.16428571428571428,0.12741935483870967,0.16346612174819697,0.6925806451612904
1.0,2,0.16428571428571428,0.13064516129032258,0.16278766655855453,0.6882795698924731
1.0,3,0.16428571428571428,0.14677419354838708,0.17105792544175671,0.6879569892473119
1.0,4,0.16428571428571428,0.14516129032258066,0.16938411223875602,0.6913978494623656
1.0,5,0.16428571428571428,0.15161290322580645,0.1704939992208789,0.6873118279569892
2.0,1,0.2822085889570552,0.16612903225806452,0.2887332260115992,0.6890322580645161
2.0,2,0.2822085889570552,0.1693548387096774,0.2876774914255064,0.6949462365591398
2.0,3,0.2822085889570552,0.1693548387096774,0.2901402154656586,0.6864516129032258
2.0,4,0.2822085889570552,0.1693548387096774,0.28690772021995464,0.6838709677419355
2.0,5,0.2822085889570552,0.1774193548387097,0.29038428612471473,0.6912903225806452
5.0,1,0.4956896551724138,0.21451612903225806,0.5080404087551761,0.6881720430107526
5.0,2,0.4956896551724138,0.21451612903225806,0.5103780581184609,0.6824731182795699
5.0,3,0.4956896551724138,0.21451612903225806,0.5098476194383673,0.6843010752688172
5.0,4,0.4956896551724138,0.2161290322580645,0.5068911830827152,0.6907526881720429
5.0,5,0.4956896551724138,0.21935483870967742,0.5062394215948861,0.6855913978494623
10.0,1,0.6628242074927954,0.25806451612903225,0.6675622178296212,0.6766666666666667
10.0,2,0.6628242074927954,0.2661290322580645,0.6744009589619714,0.6722580645161291
10.0,3,0.6628242074927954,0.2629032258064516,0.6714799404274638,0.6717204301075268
10.0,4,0.6628242074927954,0.2645161290322581,0.669879806247947,0.665483870967742
10.0,5,0.6628242074927954,0.267741935483871,0.6653790125721801,0.6673118279569892
20.0,1,0.7972270363951474,0.29516129032258065,0.8014046941048194,0.6625806451612903
20.0,2,0.7972270363951474,0.2854838709677419,0.8001224102413318,0.6608602150537635
20.0,3,0.7972270363951474,0.2725806451612903,0.7973465924585602,0.6666666666666667
20.0,4,0.7972270363951474,0.27419354838709675,0.7958743021911419,0.6656989247311829
20.0,5,0.7972270363951474,0.2661290322580645,0.7935385182718194,0.667741935483871
50.0,1,0.9076558800315706,0.3241935483870968,0.9138217144622788,0.6527956989247312
50.0,2,0.9076558800315706,0.31451612903225806,0.9157618225644114,0.6502150537634408
50.0,3,0.9076558800315706,0.30483870967741933,0.9123489863646913,0.6437634408602151
50.0,4,0.9076558800315706,0.3016129032258065,0.9127928395700231,0.6450537634408602
50.0,5,0.9076558800315706,0.2903225806451613,0.911333283606869,0.6611827956989247
100.0,1,0.9515928837401738,0.29838709677419356,0.9559997429874046,0.6464516129032258
100.0,2,0.9515928837401738,0.29516129032258065,0.955252262424289,0.6491397849462366
100.0,3,0.9515928837401738,0.2967741935483871,0.9561626301234827,0.6519354838709678
100.0,4,0.9515928837401738,0.29354838709677417,0.9556740519591805,0.6466666666666667
100.0,5,0.9515928837401738,0.28225806451612906,0.9539190781870609,0.64752688172043
500.0,1,0.9899285529826978,0.30483870967741933,0.9909491516213706,0.6404301075268817
500.0,2,0.9899285529826978,0.30483870967741933,0.9906861381804779,0.6378494623655914
500.0,3,0.9899285529826978,0.3064516129032258,0.9888989837106437,0.6275268817204301
500.0,4,0.9899285529826978,0.29838709677419356,0.9890792824636421,0.6361290322580646
500.0,5,0.9899285529826978,0.2967741935483871,0.9889307526277769,0.6351612903225806
