rho,f_eff,f_obs_mean,f_obs_std,attn_A_mean,attn_A_std,diversity_mean,diversity_std
1.0,0.75,0.9325806451612901,0.004174896485659622,0.7699131415306133,0.00260008253380892,0.5227017543859649,0.0028890901272333176
2.0,0.8571428571428571,0.9445161290322581,0.002446088852919867,0.8679106838974961,0.002332170419772774,0.5250877192982456,0.0008742641162413467
5.0,0.9375,0.937741935483871,0.0072670195652056666,0.939237941628401,0.002221780765188297,0.518280701754386,0.0023147850618791092
10.0,0.967741935483871,0.9312903225806451,0.004646729126092904,0.9660109181847858,0.0011866111645938084,0.5154736842105263,0.003752864460056017
20.0,0.9836065573770492,0.9241935483870967,0.0037825933546962944,0.9834490509926521,0.0005431002355370917,0.5175321637426901,0.0022104180177066643
50.0,0.9933774834437086,0.9212903225806451,0.001349451655700142,0.9933166257763679,8.957742079045267e-5,0.5164678362573099,0.002142538746923818
100.0,0.9966777408637874,0.9135483870967741,0.006511815883285946,0.996766374950026,0.00011335352669838271,0.5310058479532163,0.0026219446775509925
500.0,0.9993337774816788,0.9196774193548387,0.0038507536730042944,0.9993957711484528,9.215873493123555e-6,0.5339181286549708,0.0032357206570899745
