ρ,f_eff,f_obs,attn_A,diversity
1.0,0.75,0.9354838709677419,0.7580413748656745,0.5248538011695906
2.0,0.8571428571428571,0.9494623655913978,0.8623733500737841,0.5222222222222221
5.0,0.9375,0.953763440860215,0.9394437357192266,0.5212865497076024
10.0,0.967741935483871,0.9548387096774194,0.9685271212632846,0.5215204678362573
20.0,0.9836065573770492,0.9559139784946237,0.9840957962238978,0.521169590643275
50.0,0.9933774834437086,0.956989247311828,0.9936538757643089,0.5210526315789474
100.0,0.9966777408637874,0.956989247311828,0.9968316834435443,0.5209356725146199
200.0,0.9983361064891847,0.956989247311828,0.9984171346159233,0.5209356725146199
500.0,0.9993337774816788,0.956989247311828,0.9993671772456812,0.5209356725146199
1000.0,0.9996667777407531,0.956989247311828,0.9996836436257439,0.5209356725146199
