rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.75,0.9403225806451613,0.761478264584318,0.5149707602339182
1.0,2,0.75,0.9435483870967742,0.7578700349811217,0.5164327485380118
1.0,3,0.75,0.9403225806451613,0.75903610967292,0.5173684210526317
1.0,4,0.75,0.9419354838709677,0.7588197219434076,0.5160233918128655
1.0,5,0.75,0.9403225806451613,0.756912290241992,0.5202339181286548
2.0,1,0.8571428571428571,0.95,0.8622631588891275,0.5204093567251463
2.0,2,0.8571428571428571,0.9467741935483871,0.8648582979372302,0.5149122807017543
2.0,3,0.8571428571428571,0.9467741935483871,0.8663112881740607,0.5162573099415204
2.0,4,0.8571428571428571,0.9483870967741935,0.8650433731949031,0.5168421052631579
2.0,5,0.8571428571428571,0.9451612903225807,0.8646261721769285,0.5191812865497074
5.0,1,0.9375,0.9612903225806452,0.9413581368780966,0.5281286549707602
5.0,2,0.9375,0.9580645161290322,0.9401387238648033,0.5213450292397661
5.0,3,0.9375,0.9532258064516129,0.938696324608613,0.5189473684210526
5.0,4,0.9375,0.9548387096774194,0.9393509372476028,0.5178362573099415
5.0,5,0.9375,0.9532258064516129,0.9382100754015547,0.5212865497076022
10.0,1,0.967741935483871,0.9532258064516129,0.9664900654228374,0.5157309941520469
10.0,2,0.967741935483871,0.95,0.9672662890344768,0.5198830409356725
10.0,3,0.967741935483871,0.9483870967741935,0.9670449173205982,0.5217543859649123
10.0,4,0.967741935483871,0.95,0.9672307966086303,0.5221637426900583
10.0,5,0.967741935483871,0.9419354838709677,0.9663127489549828,0.5208187134502924
20.0,1,0.9836065573770492,0.9403225806451613,0.9824228122876321,0.5204093567251462
20.0,2,0.9836065573770492,0.9387096774193548,0.9824773125729697,0.5240350877192983
20.0,3,0.9836065573770492,0.9370967741935484,0.9813423384417895,0.5239766081871345
20.0,4,0.9836065573770492,0.9403225806451613,0.981815720679293,0.516608187134503
20.0,5,0.9836065573770492,0.9435483870967742,0.9815760551813572,0.5260233918128655
50.0,1,0.9933774834437086,0.9451612903225807,0.9924221349739665,0.5213450292397661
50.0,2,0.9933774834437086,0.9435483870967742,0.9916903836988443,0.5221052631578946
50.0,3,0.9933774834437086,0.9451612903225807,0.9916486519983626,0.5183040935672516
50.0,4,0.9933774834437086,0.9403225806451613,0.9914801918499352,0.5242690058479531
50.0,5,0.9933774834437086,0.9451612903225807,0.9915493576814696,0.5157309941520467
100.0,1,0.9966777408637874,0.9467741935483871,0.9957188817547059,0.5245029239766081
100.0,2,0.9966777408637874,0.9483870967741935,0.9957027288776981,0.5178947368421053
100.0,3,0.9966777408637874,0.9516129032258065,0.9958205420783424,0.5240350877192983
100.0,4,0.9966777408637874,0.9467741935483871,0.9958080796631494,0.5230994152046783
100.0,5,0.9966777408637874,0.9467741935483871,0.995826671059778,0.5234502923976609
500.0,1,0.9993337774816788,0.95,0.9991728846855018,0.5216374269005848
500.0,2,0.9993337774816788,0.9483870967741935,0.9992158016167636,0.5260233918128654
500.0,3,0.9993337774816788,0.9467741935483871,0.9992058644907388,0.5234502923976608
500.0,4,0.9993337774816788,0.9451612903225807,0.9991892270275021,0.5209356725146199
500.0,5,0.9993337774816788,0.95,0.9991958920793772,0.5229824561403508
