ρ,f_eff,f_obs,attn_A,diversity
1.0,0.6,0.8516129032258064,0.6142132928448295,0.5797916666666667
2.0,0.75,0.8790322580645161,0.7631246392102096,0.5778472222222222
5.0,0.8823529411764706,0.896774193548387,0.8895644933328447,0.5752777777777778
10.0,0.9375,0.9064516129032258,0.9413255344088054,0.5753472222222222
20.0,0.967741935483871,0.882258064516129,0.9697252309964489,0.5883333333333334
50.0,0.9868421052631579,0.8887096774193548,0.987686976632325,0.5882638888888889
100.0,0.9933774834437086,0.9758064516129032,0.9933109600537461,0.5236805555555555
500.0,0.9986684420772304,0.9887096774193549,0.9986336844480932,0.5127777777777779
