rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.6,0.8290322580645161,0.6213658322686955,0.5863194444444444
1.0,2,0.6,0.8241935483870968,0.6155829429261731,0.5871527777777779
1.0,3,0.6,0.8241935483870968,0.6161783566335145,0.5804166666666666
1.0,4,0.6,0.8209677419354838,0.6113548911497854,0.57625
1.0,5,0.6,0.8241935483870968,0.6115610508695569,0.5814583333333334
2.0,1,0.75,0.8467741935483871,0.7553882801853331,0.5815277777777778
2.0,2,0.75,0.8467741935483871,0.7573444616846092,0.5827777777777777
2.0,3,0.75,0.8467741935483871,0.7516131407441096,0.5823611111111111
2.0,4,0.75,0.8451612903225807,0.7480495126672598,0.5861805555555556
2.0,5,0.75,0.8483870967741935,0.750162193728631,0.5852083333333333
5.0,1,0.8823529411764706,0.8709677419354839,0.8810129995899423,0.5836805555555555
5.0,2,0.8823529411764706,0.882258064516129,0.8831699032680274,0.5749305555555555
5.0,3,0.8823529411764706,0.8838709677419355,0.8836003675915789,0.5865277777777778
5.0,4,0.8823529411764706,0.8887096774193548,0.8830191746936158,0.5840972222222223
5.0,5,0.8823529411764706,0.8919354838709678,0.884296620983933,0.5799305555555556
10.0,1,0.9375,0.8903225806451613,0.9392226606176453,0.5882638888888889
10.0,2,0.9375,0.885483870967742,0.9391788183781373,0.5817361111111111
10.0,3,0.9375,0.8838709677419355,0.9372048861684881,0.5772222222222223
10.0,4,0.9375,0.8903225806451613,0.9388844514766624,0.5781944444444445
10.0,5,0.9375,0.8870967741935484,0.9399738750233682,0.585
20.0,1,0.967741935483871,0.8661290322580645,0.9696265844656782,0.5954166666666666
20.0,2,0.967741935483871,0.8661290322580645,0.9695651973489695,0.5898611111111112
20.0,3,0.967741935483871,0.867741935483871,0.9699340574780483,0.5986805555555555
20.0,4,0.967741935483871,0.8709677419354839,0.9695115957652871,0.6045138888888888
20.0,5,0.967741935483871,0.8629032258064516,0.9685542083392302,0.6012500000000001
50.0,1,0.9868421052631579,0.9725806451612903,0.9886504256121225,0.546875
50.0,2,0.9868421052631579,0.9725806451612903,0.987671144580098,0.5347222222222222
50.0,3,0.9868421052631579,0.9709677419354839,0.9876785021796248,0.5464583333333333
50.0,4,0.9868421052631579,0.9725806451612903,0.986770770910291,0.5398611111111111
50.0,5,0.9868421052631579,0.9725806451612903,0.9867286092298996,0.5404861111111112
100.0,1,0.9933774834437086,0.9887096774193549,0.9928551866230447,0.5325694444444444
100.0,2,0.9933774834437086,0.9870967741935484,0.9925028956842038,0.5188888888888888
100.0,3,0.9933774834437086,0.9870967741935484,0.9925554898351684,0.528125
100.0,4,0.9933774834437086,0.9903225806451613,0.9927100510364156,0.5393749999999999
100.0,5,0.9933774834437086,0.9870967741935484,0.9924495468516614,0.52875
500.0,1,0.9986684420772304,0.9935483870967742,0.9985389386267179,0.5046527777777778
500.0,2,0.9986684420772304,0.9935483870967742,0.9981869700069731,0.5158333333333331
500.0,3,0.9986684420772304,0.9919354838709677,0.9982031526065329,0.5150694444444444
500.0,4,0.9986684420772304,0.9919354838709677,0.9980220621167526,0.5092361111111112
500.0,5,0.9986684420772304,0.9903225806451613,0.99819751821118,0.5076388888888889
