rho,f_eff,f_obs_mean,f_obs_std,attn_A_mean,attn_A_std,diversity_mean,diversity_std
1.0,0.6,0.8458064516129031,0.005049185755644705,0.6012570039753884,0.004180909860706735,0.5912638888888888,0.005507912027929188
2.0,0.75,0.8722580645161291,0.005747912800388861,0.7672345138467006,0.007687793751820918,0.5815000000000001,0.005626200146317176
5.0,0.8823529411764706,0.9051612903225805,0.004618651955895585,0.9028822547810744,0.0028241274455666383,0.5809166666666667,0.0024559192478279244
10.0,0.9375,0.9151612903225808,0.0053005408790822205,0.9469716772113712,0.00206442576862411,0.5758611111111112,0.002158705995283769
20.0,0.967741935483871,0.8896774193548389,0.00334458731505286,0.9701168823477542,0.0006857625485953498,0.5924444444444446,0.003529527125323603
50.0,0.9868421052631579,0.8938709677419355,0.0031024813002695664,0.9867481954241359,0.0006815083800681085,0.5939166666666666,0.004905698296023194
100.0,0.9933774834437086,0.9809677419354838,0.003102481300269578,0.9914299988551466,9.78546474860988e-5,0.5198333333333333,0.0031719467432438347
500.0,0.9986684420772304,0.986774193548387,0.0021029685178073224,0.998324345425749,5.4981114847041776e-5,0.5132777777777778,0.0065475837240509364
