f_target,ρ,f_eff,K_eff,β_star,f_obs_mean,f_obs_std
0.1,0.2326388888888889,0.10000000000000007,80.63181647235804,3.8483348970335034,0.3535483870967742,0.004174896485659608
0.2,0.5234375,0.2,92.573402417962,3.8483348970335034,0.35677419354838713,0.01282232704151728
0.3,0.8973214285714285,0.2999999999999998,98.75633348687239,3.8483348970335034,0.35225806451612907,0.0040483549671003725
0.4,1.3958333333333335,0.4,96.40287769784176,3.8483348970335034,0.3964516129032258,0.006689174630105711
0.5,2.09375,0.5,86.62626262626263,4.57890931841707,0.4174193548387096,0.0026502704395411315
0.6,3.1406249999999996,0.5999999999999999,73.32421340629277,4.57890931841707,0.44451612903225807,0.008192532322064724
0.7,4.885416666666666,0.7,60.03920470456455,4.57890931841707,0.47290322580645155,0.0038507536730043005
0.8,8.375000000000002,0.8000000000000002,48.55072463768114,5.448177226584068,0.47322580645161294,0.012628115568427984
0.9,18.843750000000007,0.8999999999999999,39.274592416193435,5.448177226584068,0.4916129032258064,0.006183964358929297
0.95,39.781249999999964,0.9500000000000003,35.41021512036005,6.482468428208699,0.5287096774193548,0.012872948347893485
0.99,207.2812499999998,0.9900000000000007,32.648138644949974,7.713111225104184,0.5790322580645161,0.00674725827850057
