ρ,f_eff,f_obs_mean,f_obs_std,soft_p1_mean,soft_p1_std,attn_binder_mean,attn_binder_std,diversity_mean,diversity_std,β_mean,β_std
1.0,0.32323232323232326,0.3726923076923077,0.015587603176276511,0.33733234634503756,0.009038015824640606,0.3320475493377687,0.007550295872069249,0.5025534591194968,0.0024659382052579586,3.848334897033504,4.965068306494546e-16
2.0,0.48854961832061067,0.41884615384615376,0.015587603176276483,0.3688808138669506,0.010841298793942146,0.49624306058628703,0.013641981907262278,0.49220125786163527,0.0022057456499056005,4.57890931841707,0.0
5.0,0.7048458149779736,0.4819230769230769,0.02498520272140263,0.4075760822121963,0.012511318911327542,0.7090113732551446,0.013605930581431896,0.4912830188679245,0.004299697850541309,4.57890931841707,0.0
10.0,0.8268733850129198,0.5211538461538462,0.010356086167566359,0.4335065943291697,0.009325151862916306,0.82814555702055,0.011924895028145985,0.47841509433962265,0.004166731932561089,5.448177226584068,0.0
20.0,0.9052333804809052,0.5526923076923078,0.0306065410497427,0.4506356280258565,0.01923613182977418,0.9054495160934252,0.0054006243964461855,0.4843647798742139,0.0038651367977203806,5.448177226584068,0.0
50.0,0.9598080383923215,0.5738461538461539,0.012208130960079923,0.4675220087692482,0.013770717267499493,0.964041339542419,0.003784542562804334,0.4701509433962265,0.0021223969111341867,6.4824684282086995,9.930136612989092e-16
100.0,0.9794918885827977,0.5980769230769231,0.019085993501230015,0.4788417198678143,0.010245151537778479,0.982273061786034,0.0016881852509226596,0.45806289308176107,0.0041880370444669175,7.713111225104184,0.0
200.0,0.9896397092933354,0.5984615384615385,0.023252536923372057,0.47983249805580125,0.011658819126253986,0.9903598905274664,0.0007753283166129556,0.45695597484276734,0.005793780876036273,7.713111225104184,0.0
500.0,0.9958299620339827,0.5973076923076922,0.029025086068809082,0.46931218086523174,0.012355236749226195,0.995091229405982,0.0005117887506435481,0.4424654088050316,0.006890940997970246,9.17738133701449,0.0
1000.0,0.9979106246296816,0.6084615384615384,0.026071703584742072,0.4795722748557195,0.009785700319819129,0.9982744212496376,0.00015542934338540632,0.4452955974842768,0.002209060743640035,9.17738133701449,0.0
