method,f_obs_mean,f_obs_std,diversity_mean,diversity_std,kl_mean,kl_std,valid_mean,valid_std
Hard curation,1.0,0.0,0.4979622641509434,0.005122717760454183,0.008392973877200841,0.0001534914330108064,1.0,0.0
Multiplicity (ρ=500),0.613978494623656,0.004094501669819343,0.5088679245283018,0.0023620518186433016,0.01790543450082651,0.00013120642247031945,1.0,0.0
Combined (ρ=500),0.6112820512820514,0.0036712361700709014,0.4422389937106918,0.0029011372674730912,0.04371983834757866,0.0008239150814335023,1.0,0.0
