ρ,f_eff,K_eff,β_star,replicate,f_observed,mean_attention_on_binders,soft_p1_kr_score
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,4,0.5548387096774193,0.9864836118568849,0.2634627023714364
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,5,0.5870967741935483,0.9872519413802278,0.2760256943318661
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,1,0.5806451612903226,0.9909833235158313,0.27035766721839144
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,2,0.5870967741935483,0.990826073975703,0.2745218296412926
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,3,0.5629032258064516,0.9905881886482258,0.27178738943150754
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,4,0.5870967741935483,0.9875937049767979,0.2700750359390675
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,5,0.6129032258064516,0.9912999971152882,0.28321085946782976
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,1,0.6016129032258064,0.9946873587902494,0.2658693703625562
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,2,0.6338709677419355,0.9969631695603594,0.2780933029226123
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,3,0.5854838709677419,0.9970704234369228,0.2632997988379809
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,4,0.617741935483871,0.9922615156486074,0.27160493752258597
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,5,0.603225806451613,0.9942573403905354,0.2671606910766197
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,1,0.6112903225806452,0.9984813914628384,0.26582846472889227
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,2,0.5725806451612904,0.9987080635423079,0.2704601663043917
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,3,0.5967741935483871,0.9979258611930067,0.27393120176032765
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,4,0.5854838709677419,0.998379454784093,0.2679574368389792
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,5,0.5903225806451613,0.9980409024942904,0.26247410922210446
