binder_weight,replicate,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
1.0,1,0.3967741935483871,0.5572955974842766,0.42662811929397415,1.0,0.007480064317199108,1.6884969097674032
1.0,2,0.3967741935483871,0.5582389937106917,0.4257760194765672,1.0,0.007475761545215037,1.6790531104998345
1.0,3,0.3967741935483871,0.5598113207547171,0.4247717589774801,1.0,0.007413635271392825,1.6764394954649464
1.0,4,0.3870967741935484,0.560440251572327,0.4235240413877054,1.0,0.0072245688411253705,1.6716958210312807
1.0,5,0.4,0.5588050314465409,0.42282410225197786,1.0,0.007159100706833855,1.6619915661235363
2.0,1,0.4290322580645161,0.5560377358490566,0.4224893487522823,1.0,0.00758985553419861,1.6634260264522562
2.0,2,0.40483870967741936,0.5572955974842768,0.4225502130249542,1.0,0.00756593004714578,1.6659216206108096
2.0,3,0.40161290322580645,0.5589308176100629,0.42431527693244064,1.0,0.007508020746006431,1.666281491055022
2.0,4,0.40483870967741936,0.5528301886792453,0.4248934875228241,1.0,0.007573329063313202,1.6639841239843176
2.0,5,0.40161290322580645,0.5588050314465407,0.42455873402312827,1.0,0.007545607601169933,1.6627982542916402
5.0,1,0.4290322580645161,0.5549056603773586,0.42522824102251955,1.0,0.007879618740072253,1.6604624927398508
5.0,2,0.4258064516129032,0.559937106918239,0.4242848447961044,1.0,0.007252186244400704,1.6642151508086633
5.0,3,0.4241935483870968,0.559496855345912,0.42419354838709655,1.0,0.007317063466535866,1.6604549067780583
5.0,4,0.43548387096774194,0.5638993710691823,0.4249543517954959,1.0,0.007449522651022464,1.663491295203903
5.0,5,0.43548387096774194,0.5622012578616352,0.4242239805234327,1.0,0.007390005368236471,1.6603838119837115
10.0,1,0.48870967741935484,0.5543396226415094,0.42291539866098604,1.0,0.00775554979402021,1.658981316197918
10.0,2,0.49032258064516127,0.5613207547169812,0.4223676202069384,1.0,0.007803771297808037,1.659590926803873
10.0,3,0.49193548387096775,0.5642138364779874,0.4223676202069384,1.0,0.007906393946156815,1.6625794083962424
10.0,4,0.4806451612903226,0.5563522012578617,0.42172854534388293,1.0,0.008219566321433345,1.6661626747144547
10.0,5,0.47096774193548385,0.560377358490566,0.4213329275715153,1.0,0.00843715409594071,1.6741319003533244
20.0,1,0.4854838709677419,0.5543396226415094,0.42035909920876435,1.0,0.008810658343673262,1.6694840218539935
20.0,2,0.48870967741935484,0.5630188679245284,0.42157638466220315,1.0,0.009193365472516878,1.67606632048634
20.0,3,0.48870967741935484,0.5569811320754717,0.42145465611685917,1.0,0.008850965469688553,1.6811671575148535
20.0,4,0.48870967741935484,0.5537106918238994,0.4211199026171636,1.0,0.009244777667264798,1.6803513858480799
20.0,5,0.482258064516129,0.5650943396226414,0.42160681679853906,1.0,0.009578894317902879,1.6831137419319622
50.0,1,0.4967741935483871,0.5580503144654088,0.4222154595252584,1.0,0.009764067893914367,1.6811144349888651
50.0,2,0.5080645161290323,0.5576729559748428,0.4216676810712111,1.0,0.009535400267628575,1.6755724198905466
50.0,3,0.5145161290322581,0.5559748427672955,0.4209373097991478,1.0,0.009223412653123979,1.6762904454731757
50.0,4,0.5016129032258064,0.5545283018867924,0.42090687766281176,1.0,0.00893875644826725,1.678388249595236
50.0,5,0.4967741935483871,0.559496855345912,0.4201460742544125,1.0,0.008883405116399318,1.6800390311169442
100.0,1,0.5064516129032258,0.5591823899371069,0.41880706025562975,1.0,0.009004418557073039,1.6734208411372704
100.0,2,0.5145161290322581,0.5599371069182391,0.41877662811929384,1.0,0.009540508368757571,1.6683567954393983
100.0,3,0.5145161290322581,0.559685534591195,0.4192939744370052,1.0,0.009537724956329208,1.6710223575145153
100.0,4,0.5112903225806451,0.5561635220125785,0.41877662811929384,1.0,0.009519499887206156,1.6644389673865443
100.0,5,0.5145161290322581,0.5540880503144654,0.4185636031649421,1.0,0.00941314602269174,1.6658715829720487
