n_consensus,replicate,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
0,1,0.3967741935483871,0.5574842767295598,0.4183505782105902,1.0,0.0076444083340144325,1.6674825461515776
0,2,0.3919354838709677,0.5552830188679244,0.4176810712111989,1.0,0.007378932741540861,1.6670054439368076
0,3,0.3935483870967742,0.5515723270440251,0.41841144248326223,1.0,0.007803611235866614,1.6608313740724718
0,4,0.39838709677419354,0.5525786163522012,0.4190505173463177,1.0,0.007416571419270323,1.6651837494480073
0,5,0.4,0.5500628930817609,0.41841144248326223,1.0,0.007657511028764317,1.66715450874508
1,1,0.45,0.5551572327044025,0.4234327449786973,1.0,0.0068707870042069505,1.6719781539255736
1,2,0.45483870967741935,0.559182389937107,0.4232197200243456,1.0,0.007244052369835795,1.6720286021403121
1,3,0.45645161290322583,0.5566037735849056,0.4237674984783931,1.0,0.007203009786722224,1.6696853323020338
1,4,0.4483870967741935,0.5576100628930818,0.4238892270237369,1.0,0.007100817549035848,1.6741573500788598
1,5,0.43709677419354837,0.5520754716981131,0.4231892878880097,1.0,0.007094955021749034,1.6782341902414228
2,1,0.4435483870967742,0.5583018867924527,0.4223980523432742,1.0,0.009223876935953725,1.6463322110324787
2,2,0.4483870967741935,0.5552201257861635,0.42276323797930604,1.0,0.00892567193169885,1.6392681045523076
2,3,0.44516129032258067,0.5626415094339623,0.422702373706634,1.0,0.00902450112439805,1.6316744364026667
2,4,0.45806451612903226,0.5543396226415094,0.42294583079732184,1.0,0.009363552559616795,1.629369866826685
2,5,0.45483870967741935,0.5518238993710691,0.4239196591600729,1.0,0.009393855648341169,1.6221263353995043
3,1,0.4612903225806452,0.560125786163522,0.42592818015824696,1.0,0.009255003744318466,1.6693059564420372
3,2,0.4483870967741935,0.560188679245283,0.4260194765672547,1.0,0.009252094298545333,1.6748562770509767
3,3,0.45483870967741935,0.5584905660377357,0.4269020085209978,1.0,0.008829935370757087,1.6760482399394834
3,4,0.4645161290322581,0.5643396226415094,0.4280888618381007,1.0,0.009179964570473313,1.6756912382856752
3,5,0.4661290322580645,0.5642138364779874,0.42921485088253164,1.0,0.00922087042275014,1.6764926889999274
5,1,0.5129032258064516,0.5649685534591196,0.43091905051734625,1.0,0.007373055042805736,1.680119593662319
5,2,0.5096774193548387,0.5633333333333334,0.429975654290931,1.0,0.0072447715790682,1.6756101655549356
5,3,0.5064516129032258,0.5679245283018868,0.4301582471089468,1.0,0.006798639555165712,1.675194225981731
5,4,0.49516129032258066,0.5670440251572326,0.42973219720024325,1.0,0.006547207909435209,1.6740983925224882
5,5,0.482258064516129,0.5679874213836478,0.43091905051734614,1.0,0.0066498554969156775,1.6805448349247185
