approach_param,n_generated,p1_kr_mean,p1_kr_std,valid_mean,valid_std,kl_mean,kl_std,novelty_mean,novelty_std,diversity_mean,diversity_std
Baseline: Standard SA,930.0,0.41161290322580646,0.006469509228598432,1.0,0.0,0.006892319203857728,7.105805257168275e-5,0.42025157232704374,0.0002888471296444077,0.5559245283018868,0.0033759000399689472
Approach 1: Curated memory,930.0,1.0,0.0,1.0,0.0,0.009157831445934414,0.00012680041753185427,0.3256400892676,0.0006299770746321272,0.500251572327044,0.0033684515322694
Approach 2: Biased energy (λ=0.05),620.0,0.5054838709677419,0.005049185755644684,1.0,0.0,0.007916843866185543,0.00027752070945469997,0.4212720632988434,0.0004787624078683104,0.5587924528301886,0.003614410197734741
Approach 2: Biased energy (λ=0.1),620.0,0.6451612903225807,0.003606561254031903,1.0,0.0,0.008549565663864646,0.00034372223196728574,0.4196104686548995,0.00031228176585191506,0.5574716981132075,0.0007486654661611246
Approach 2: Biased energy (λ=0.2),620.0,0.8619354838709677,0.004357824543905238,1.0,0.0,0.01224790911379495,0.00022524519717057124,0.41937918441874605,0.0005372802073205823,0.5549811320754717,0.0016541000071309047
Approach 2: Biased energy (λ=0.5),620.0,0.9983870967741936,0.0,1.0,0.0,0.021516105430802613,0.0005276445500591181,0.41567255021302485,0.0002500255131642716,0.5333207547169811,0.003237436274520491
Approach 3: Post-hoc filter,50.0,1.0,0.0,1.0,0.0,0.010554175502551466,0.00045188789735197267,0.41750943396226414,0.001181318931509366,0.5435723270440251,0.001704158816618794
Approach 4: Interface PCA (weight=2.0),620.0,0.32225806451612904,0.00922321190677148,1.0,0.0,0.012851668087188493,0.0003147813911947497,0.41593426658551413,0.000728657453654371,0.531308176100629,0.0016457089826141323
Approach 4: Interface PCA (weight=3.0),620.0,0.402258064516129,0.008271536390295549,1.0,0.0,0.019005644424956,0.0005255613920423481,0.4064333536214241,0.00047662982529370686,0.5037232704402517,0.0022959851486230956
Approach 4: Interface PCA (weight=5.0),620.0,0.3116129032258065,0.011540996012902142,1.0,0.0,0.048313942979344986,0.0016284530223492492,0.40170419963481435,0.00010972462798123285,0.43389937106918247,0.004016795560210276
