n_binders,replicate,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
3,1,1.0,0.33666666666666667,0.06335970785149136,1.0,0.19763448757742147,0.611352297442443
3,2,1.0,0.3847798742138364,0.02726719415702994,1.0,0.18795610394020143,0.8107703183957337
3,3,1.0,0.41641509433962265,0.036335970785149274,1.0,0.014956532318172355,0.8980622853121152
3,4,1.0,0.33886792452830194,0.04680462568472288,1.0,0.03808620513192941,0.6993099711763493
3,5,1.0,0.3849056603773585,0.0430310407790625,1.0,0.19904425566148148,0.8248609327942233
5,1,1.0,0.4035849056603773,0.12458916615946458,1.0,0.0372709560253831,0.8159633167280036
5,2,1.0,0.369811320754717,0.12994522215459503,1.0,0.19343517197132318,0.8289777284909443
5,3,1.0,0.3662893081761005,0.11046865489957403,1.0,0.08040998182982012,0.5951960029228013
5,4,1.0,0.4421383647798742,0.11777236762020693,1.0,0.03968468662079271,0.7865864305688566
5,5,1.0,0.3969811320754717,0.12002434570906861,1.0,0.04007245168457889,0.9343402175866861
8,1,1.0,0.42691823899371073,0.17309799147900184,1.0,0.0317312937548767,1.0816783612168692
8,2,1.0,0.40603773584905656,0.1686548995739502,1.0,0.039673062616664735,1.045745345303083
8,3,1.0,0.41811320754716974,0.18192331101643333,1.0,0.07527947197178841,1.0179957132511703
8,4,1.0,0.44861635220125795,0.20669506999391352,1.0,0.02079953902107778,1.1486417570713972
8,5,1.0,0.44289308176100617,0.16701156421180763,1.0,0.01719371571031974,1.1040160435146253
10,1,1.0,0.4277358490566038,0.19738283627510655,1.0,0.031081788682817364,1.1393215391520715
10,2,1.0,0.4678616352201257,0.2295800365185635,1.0,0.019083748522994808,1.2163006805425918
10,3,1.0,0.459182389937107,0.19756542909312236,1.0,0.016586571818083897,1.3337209364290203
10,4,1.0,0.43352201257861644,0.22178940961655513,1.0,0.02782743650216071,0.9856749608940779
10,5,1.0,0.4815094339622642,0.21424223980523438,1.0,0.01105221883937058,1.2413798445120172
15,1,1.0,0.4356603773584905,0.23879082978291744,1.0,0.01662095131637952,1.175319987982105
15,2,1.0,0.44867924528301895,0.2508419557719621,1.0,0.01319424221487653,1.305520484496239
15,3,1.0,0.44528301886792465,0.2617975248529114,1.0,0.01960364226540487,1.3249305655224868
15,4,1.0,0.42345911949685544,0.24150943396226432,1.0,0.02075625983516766,1.1466127307374911
15,5,1.0,0.4760377358490565,0.2584702779468452,1.0,0.01641183278784718,1.1709969480748363
20,1,1.0,0.4912578616352202,0.2920876445526478,1.0,0.012645225884383904,1.3448651094720967
20,2,1.0,0.46849056603773576,0.2700852099817408,1.0,0.014463268687123536,1.2703712839673456
20,3,1.0,0.4698742138364781,0.2858186244674379,1.0,0.01382139126024031,1.3272276094482962
20,4,1.0,0.4882389937106918,0.2891357273280586,1.0,0.01148805456363919,1.361417659958925
20,5,1.0,0.4913207547169812,0.2806451612903228,1.0,0.00774167330472448,1.3959363921680805
25,1,1.0,0.5008176100628932,0.2972124163116251,1.0,0.007968750342752339,1.3796274766318215
25,2,1.0,0.48050314465408805,0.2981862446743764,1.0,0.0105338081816394,1.363803803598394
25,3,1.0,0.4953459119496857,0.3003530127814975,1.0,0.009925787924602612,1.307951940879492
25,4,1.0,0.4931446540880503,0.2989166159464395,1.0,0.0078002189857674115,1.3223278404725771
25,5,1.0,0.4960377358490565,0.3079245283018871,1.0,0.014469314937667626,1.3780592569583474
32,1,1.0,0.5027672955974842,0.32594720024345714,1.0,0.008788839996980366,1.383630028528589
32,2,1.0,0.5015723270440251,0.32587111990261686,1.0,0.008409283011560797,1.3835346725985203
32,3,1.0,0.5044654088050314,0.3268791844187461,1.0,0.008569143283942498,1.3857466357785784
32,4,1.0,0.49924528301886795,0.3270884053560559,1.0,0.00864612170550197,1.389741047948261
32,5,1.0,0.5035220125786164,0.3268411442483261,1.0,0.00848621553874533,1.3937532771454715
