condition,f_target,beta,p1_kr,novelty,diversity,kl,n
unconditional,0.32323232323232326,3.8483348970335034,0.38924731182795697,0.4210996145262743,0.5610943396226414,0.007400221710619411,930
multiplicity,0.5,4.57890931841707,0.43870967741935485,0.41582471089470574,0.5550566037735848,0.00949537823417429,620
multiplicity,0.7,4.57890931841707,0.4774193548387097,0.4145161290322592,0.5549056603773583,0.010171077382926594,620
multiplicity,0.8999999999999999,5.448177226584068,0.5548387096774193,0.40763846622032984,0.5461132075471697,0.012427640980545962,620
multiplicity,0.9500000000000003,6.482468428208699,0.5790322580645161,0.4013085818624482,0.5363396226415094,0.01418666505551607,620
multiplicity,0.9900000000000007,7.713111225104184,0.6129032258064516,0.3931223371880719,0.526377358490566,0.015696462327324367,620
mask,1.0,3.234325130694131,0.4978494623655914,0.4249543517954969,0.5688301886792453,0.006738956332491391,930
curation,1.0,3.234325130694131,1.0,0.3265571109758584,0.5000754716981133,0.019675411885830052,930
