binder_frac_target,binder_frac_actual,p1_kr_frac,diversity,mean_novelty,mean_seqid,mean_valid,kl_aa,loop_entropy
0.1,0.12987012987012986,0.10161290322580645,0.5413584905660378,0.4023737066342056,0.5976262933657944,1.0,0.010099576097740582,1.6253375376596204
0.2,0.22988505747126436,0.2435483870967742,0.544566037735849,0.41357273280584284,0.5864272671941572,1.0,0.010545811995188096,1.6320112179399258
0.3,0.30927835051546393,0.3467741935483871,0.5614339622641509,0.42069385270846005,0.57930614729154,1.0,0.006061042813835237,1.682736624779678
0.4,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
0.5,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
0.6,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
0.7,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
0.8,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
0.9,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
1.0,0.32323232323232326,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
