ρ,f_eff,f_obs_mean,f_obs_std,soft_p1_mean,soft_p1_std,attn_binder_mean,attn_binder_std,diversity_mean,diversity_std,β_mean,β_std
1.0,0.32323232323232326,0.3976923076923077,0.004977761194440308,0.22555036238561463,0.002225967321099208,0.3239429700869986,0.0026344571549557056,0.5597232704402515,0.002184391810183462,3.848334897033504,4.965068306494546e-16
2.0,0.48854961832061067,0.4119230769230769,0.011080661762221495,0.22685390065814687,0.0031275169677652983,0.47925612244806526,0.004934711892213651,0.5457106918238993,0.0032747914933908173,4.57890931841707,0.0
5.0,0.7048458149779736,0.45,0.010963225241337875,0.24713358246698713,0.00327543662059337,0.6827795890153141,0.0030926368866661023,0.5473584905660377,0.0017172230115064895,4.57890931841707,0.0
10.0,0.8268733850129198,0.518076923076923,0.009081322271628941,0.26561554221843825,0.0021436994173092264,0.8099300027412177,0.0016241598805538872,0.5376981132075471,0.002622573638323604,5.448177226584068,0.0
20.0,0.9052333804809052,0.5226923076923077,0.003440104580768895,0.26748669231687505,0.0014899557459983237,0.8929037937714366,0.0029881105872917057,0.5401132075471698,0.0038114971833711005,5.448177226584068,0.0
50.0,0.9598080383923215,0.5507692307692308,0.00822663447546443,0.26841519712530354,0.0033088668057928224,0.9574953375113603,0.003215985599760897,0.5318993710691824,0.0023165665879268655,6.4824684282086995,9.930136612989092e-16
100.0,0.9794918885827977,0.5765384615384616,0.002106625221173769,0.2645662371346035,0.0012497764466688746,0.9765105485281728,0.000981872561375186,0.5186792452830188,0.0026094945202170604,7.713111225104184,0.0
200.0,0.9896397092933354,0.5446153846153845,0.01099690650422755,0.2538092782067082,0.0027363422085216827,0.9858195347306976,0.0011308201278158484,0.5193584905660378,0.004094189874470263,7.713111225104184,0.0
500.0,0.9958299620339827,0.5669230769230769,0.0025073855404625484,0.25206836608884736,0.002644344811928245,0.9942004791453932,4.850621760512021e-5,0.5104276729559748,0.0015832326200067952,9.17738133701449,0.0
1000.0,0.9979106246296816,0.571923076923077,0.008664523327745248,0.25878877697936997,0.004381040154390048,0.9970707122581643,0.000563654086454737,0.5110943396226415,0.0039813357524378845,9.17738133701449,0.0
