ρ,f_eff,K_eff,β_star,f_obs_mean,f_obs_std,attn_binder_mean,soft_p1_mean
1.0,0.32323232323232326,99.0,3.8483348970335034,0.37,0.026271020026565624,0.3183197510615253,0.22582122203545874
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,0.3858064516129032,0.033219542159239814,0.4111117700157939,0.2339084213727139
2.0,0.48854961832061067,88.0051282051282,3.8483348970335034,0.39774193548387105,0.032610972789935785,0.4816712227496871,0.24018315125479245
3.0,0.588957055214724,74.84225352112676,4.57890931841707,0.41580645161290325,0.038967555009165,0.5770591954917392,0.24031240913904567
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,0.4393548387096774,0.03527430786004459,0.6960884360670813,0.25223745491135013
7.0,0.7697594501718213,51.79266055045871,4.57890931841707,0.46225806451612905,0.03261097278993576,0.7673784439070153,0.26310324746004016
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,0.48258064516129034,0.04338979485554936,0.8192453958137458,0.2600155459228376
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,0.5064516129032257,0.020718117062363112,0.8731167058067417,0.267965339375856
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,0.5241935483870968,0.029210919800443283,0.9045217867353281,0.2759713823054217
30.0,0.934761441090555,36.53753420861191,6.482468428208699,0.5438709677419356,0.021042051944903786,0.9340329879607443,0.2681531483821895
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,0.542258064516129,0.01704648721369722,0.9590486687504243,0.271509875608579
75.0,0.9728415079043372,33.79902480743279,7.713111225104184,0.5832258064516129,0.03172134133919873,0.9723650787713041,0.2719026028347906
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,0.5448387096774192,0.03262692337674912,0.9802780417819157,0.261229149151887
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,0.5706451612903225,0.020125775170727826,0.9859202580694187,0.26940252704530165
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,0.5425806451612903,0.021567115677995845,0.9897287034042691,0.2592485392951238
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,0.5919354838709678,0.022494073679002188,0.995513813590297,0.2629181352477398
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,0.604516129032258,0.009293458252185775,0.9979409120477956,0.2664232328552978
