n_interpolants,replicate,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
0,1,1.0,0.5006289308176101,0.31874619598295817,1.0,0.009128817373411193,1.3931370307530937
0,2,1.0,0.500314465408805,0.31576384662203316,1.0,0.00915229477016337,1.3970048105958108
0,3,1.0,0.4981761006289308,0.31415094339622673,1.0,0.008992917070665778,1.4007563376330976
0,4,1.0,0.50062893081761,0.31451612903225834,1.0,0.009119971024456969,1.3976884951303814
0,5,1.0,0.5018867924528302,0.31612903225806477,1.0,0.009890017802666,1.3980394800512401
5,1,1.0,0.5036477987421384,0.32948874010955587,1.0,0.007562577383923293,1.3939690342573827
5,2,1.0,0.5044654088050314,0.32997565429093145,1.0,0.007379287640887659,1.3958128135463825
5,3,1.0,0.49943396226415104,0.3314059646987221,1.0,0.007532339691283205,1.3965615679953112
5,4,1.0,0.5072327044025158,0.3318015824710897,1.0,0.007410164582142262,1.396788242018381
5,5,1.0,0.49566037735849056,0.33189287888009755,1.0,0.0074180880599299575,1.393201131357691
10,1,1.0,0.5025786163522012,0.338740109555691,1.0,0.007151535939137658,1.408376854785932
10,2,1.0,0.5053459119496855,0.33883140596469896,1.0,0.007105459929903434,1.4021476719683934
10,3,1.0,0.5020125786163521,0.33965307364577013,1.0,0.007288470509978304,1.3992853998841401
10,4,1.0,0.5130188679245282,0.3384053560559954,1.0,0.007188146750473754,1.4056713099968494
10,5,1.0,0.5038993710691825,0.3401095556908097,1.0,0.0071358767765014736,1.4124810813450488
20,1,1.0,0.5004402515723271,0.35252586731588575,1.0,0.008731205390259483,1.408564126497692
20,2,1.0,0.4967295597484277,0.35337796713329295,1.0,0.008737396862460634,1.4081785561144196
20,3,1.0,0.5042138364779873,0.35407790626902036,1.0,0.008738521659008909,1.4096431781853995
20,4,1.0,0.49955974842767314,0.35386488131466853,1.0,0.008599003384632101,1.4127807990822507
20,5,1.0,0.49584905660377354,0.3567559342665857,1.0,0.008478705107075619,1.4160248750353663
30,1,1.0,0.5142138364779875,0.3738892270237373,1.0,0.01145725412329573,1.369042901464549
30,2,1.0,0.5116352201257861,0.3751065124771761,1.0,0.01174203209126307,1.3657693070241745
30,3,1.0,0.5164150943396226,0.3755325623858796,1.0,0.012395455363546604,1.3669374843978925
30,4,1.0,0.5116352201257861,0.37556299452221553,1.0,0.012690700906626584,1.3687620850722135
30,5,1.0,0.5122012578616353,0.3746804625684724,1.0,0.01276660524241211,1.3592400381524
50,1,1.0,0.5148427672955974,0.3911138161898966,1.0,0.005582784399639308,1.4216311276729052
50,2,1.0,0.5238993710691824,0.3921485088253196,1.0,0.005356312531229392,1.4211495301568293
50,3,1.0,0.5228301886792452,0.39348752282410215,1.0,0.005394907130265259,1.4205232905854186
50,4,1.0,0.5166666666666666,0.39363968350578205,1.0,0.005382882826380637,1.4246550602868995
50,5,1.0,0.5208805031446542,0.3933353621424224,1.0,0.005359547648358599,1.4232261099522114
