n_interpolants,p1_kr_mean,p1_kr_std,diversity_mean,diversity_std,novelty_mean,novelty_std,valid_mean,valid_std,kl_mean,kl_std,entropy_mean,entropy_std
0,1.0,0.0,0.5003270440251573,0.0013455298346657456,0.3158612294583082,0.0018123608343138373,1.0,0.0,0.009256803608272662,0.0003593821261074352,1.3973252308327249,0.0027412723235257066
5,1.0,0.0,0.5020880503144655,0.004552781491675722,0.3309129640900793,0.0011067846255216971,1.0,0.0,0.0074604914716332755,8.140732063616004e-5,1.3952665578350298,0.0016000408853464243
10,1.0,0.0,0.5053710691823899,0.00446465579619588,0.339147900182593,0.0007067204379519403,1.0,0.0,0.0071738979811989245,7.063874923451826e-5,1.4055924635960726,0.005168601057566171
20,1.0,0.0,0.4993584905660377,0.003317095849744061,0.3541205112598907,0.0015895657714022956,1.0,0.0,0.008656966480687348,0.0001159402291527493,1.4110383069830257,0.0033222081558412094
30,1.0,0.0,0.5132201257861635,0.002077091039703304,0.37495435179549624,0.0006959584069402679,1.0,0.0,0.01221040954542882,0.0005832872211111074,1.365950363222246,0.003984508271009322
50,1.0,0.0,0.5198238993710691,0.003922481727298813,0.3927449786975045,0.0010859199464719636,1.0,0.0,0.005415286907174638,9.500738357152173e-5,1.4222370237308528,0.0016816529026524886
