ρ,f_eff,K_eff,β_star,log_K_eff
1.0,0.32323232323232326,99.0,4.266331308058113,4.59511985013459
2.0,0.48854961832061067,88.0051282051282,4.266331308058113,4.477395087838556
3.0,0.588957055214724,74.84225352112676,4.266331308058113,4.315382612138109
5.0,0.7048458149779736,59.43367935409458,4.928888400843606,4.0848610581822635
8.0,0.7925696594427245,49.32813238770686,4.928888400843606,3.898494554964935
10.0,0.8268733850129198,45.84297520661157,5.694339964194764,3.8252219744584934
15.0,0.8775137111517367,41.17366175863493,5.694339964194764,3.7177987742273264
20.0,0.9052333804809052,38.8473614673195,5.694339964194764,3.6596401586081555
30.0,0.934761441090555,36.53753420861191,6.578665409075976,3.5983400666972587
50.0,0.9598080383923215,34.707045349519774,6.578665409075976,3.546942702353008
100.0,0.9794918885827977,33.347046087225486,7.600325733395655,3.5069691953421174
200.0,0.9896397092933354,32.67179686688275,7.600325733395655,3.486512224617272
500.0,0.9958299620339827,32.268290878063894,8.780648910039302,3.4740850414776303
1000.0,0.9979106246296816,32.134073000534656,10.144275125288338,3.469916931372302
