rho,f_eff,f_obs_mean,f_obs_std,attn_A_mean,attn_A_std,diversity_mean,diversity_std
1.0,0.32323232323232326,0.3658064516129032,0.005747912800388858,0.310605432188352,0.002903436781068777,0.5559496855345912,0.004522970306466869
2.0,0.48854961832061067,0.3870967741935484,0.005702474041827003,0.4726914348778254,0.0026158959322042626,0.5568050314465408,0.0025307725967214107
5.0,0.7048458149779736,0.4451612903225806,0.012336337532885757,0.6837746853072497,0.003688793866382179,0.5461132075471697,0.0025710888748646152
10.0,0.8268733850129198,0.49225806451612897,0.006591231207000815,0.8114647449696608,0.0024508747629584677,0.5369937106918238,0.0022005389661680823
20.0,0.9052333804809052,0.517741935483871,0.0075651867093926356,0.8999319797131233,0.0012944473344106522,0.5385660377358491,0.0018833301566471864
50.0,0.9598080383923215,0.5354838709677419,0.0034214844250962,0.9563589979014834,0.0007323762981306361,0.527874213836478,0.0035559350198996645
100.0,0.9794918885827977,0.5354838709677419,0.010637827385703975,0.9748657934640927,0.0009700096863667423,0.5198490566037736,0.004681332800062073
500.0,0.9958299620339827,0.5793548387096774,0.0063908428245674324,0.9942506082683916,0.00011835909424496808,0.5092201257861635,0.0024206075698221495
