n_binders,p1_kr_mean,p1_kr_std,diversity_mean,diversity_std,novelty_mean,novelty_std,valid_mean,valid_std,kl_mean,kl_std,entropy_mean,entropy_std
3,1.0,0.0,0.37232704402515726,0.03408894960404899,0.043359707851491194,0.013418991768252859,1.0,0.0,0.12753551692584122,0.09267310814474611,0.7688711610241729,0.11317209466473646
5,1.0,0.0,0.39576100628930816,0.03064118412319184,0.12055995130858184,0.0073179512255818055,1.0,0.0,0.0781746496263796,0.06688862312019284,0.7922127392594585,0.1234536595297675
8,1.0,0.0,0.42851572327044024,0.01751262350765759,0.1794765672550213,0.01627885490120834,1.0,0.0,0.036935416614945475,0.02321069517439125,1.079615444071429,0.05076527253852896
10,1.0,0.0,0.45396226415094343,0.02283044856653366,0.2121119902617164,0.014421108378964228,1.0,0.0,0.021126352873085473,0.008220177082234381,1.1832795923059556,0.13045931395342936
15,1.0,0.0,0.4458238993710692,0.01952435674507828,0.2502820044633801,0.010111548678165778,1.0,0.0,0.017317385683935153,0.002973137380222086,1.2246761433626316,0.08366322239686387
20,1.0,0.0,0.48183647798742146,0.011628793057474959,0.28355447352404156,0.008645474818770801,1.0,0.0,0.012031922740022283,0.0026547982153346528,1.3399636110029487,0.04642884570242586
25,1.0,0.0,0.4931698113207548,0.007614038152950197,0.30051856360316515,0.004295703609046587,1.0,0.0,0.010139576074485878,0.0026987422485660515,1.3503540637081264,0.03312406658900953
32,1.0,0.0,0.502314465408805,0.0020162113440836747,0.3265254108338404,0.0005710145094385063,1.0,0.0,0.008579920707346192,0.00014666618257011112,1.3872811323998842,0.004406275142226175
