approach,replicate,parameter,n_generated,p1_kr_frac,mean_valid_frac,kl_aa,mean_novelty,diversity,approach_param
Baseline: Standard SA,1,,930,0.4075268817204301,1.0,0.006856138765633305,0.42000405761817783,0.5540880503144654,Baseline: Standard SA
Baseline: Standard SA,2,,930,0.4096774193548387,1.0,0.006794374657262403,0.4200852099817405,0.56,Baseline: Standard SA
Baseline: Standard SA,3,,930,0.4064516129032258,1.0,0.006921225694481871,0.420105498072631,0.5552201257861635,Baseline: Standard SA
Baseline: Standard SA,4,,930,0.4118279569892473,1.0,0.0069831631084186635,0.4203489551633188,0.5586163522012577,Baseline: Standard SA
Baseline: Standard SA,5,,930,0.42258064516129035,1.0,0.006906693793492394,0.42071414079935054,0.5516981132075471,Baseline: Standard SA
Approach 1: Curated memory,1,,930,1.0,1.0,0.00920583768176798,0.32499492797727736,0.5038993710691824,Approach 1: Curated memory
Approach 1: Curated memory,2,,930,1.0,1.0,0.0091772503118574,0.3252180969770746,0.49616352201257863,Approach 1: Curated memory
Approach 1: Curated memory,3,,930,1.0,1.0,0.009329265344872372,0.32649624670318533,0.49735849056603776,Approach 1: Curated memory
Approach 1: Curated memory,4,,930,1.0,1.0,0.009081502407886933,0.3254006897950903,0.5010691823899371,Approach 1: Curated memory
Approach 1: Curated memory,5,,930,1.0,1.0,0.008995301483287388,0.3260904848853724,0.5027672955974842,Approach 1: Curated memory
Approach 2: Biased energy,1,λ=0.05,620,0.5096774193548387,1.0,0.008337894393375237,0.4220024345709067,0.5576729559748428,Approach 2: Biased energy (λ=0.05)
Approach 2: Biased energy,2,λ=0.05,620,0.5064516129032258,1.0,0.008055029774171763,0.4214850882531954,0.5622012578616352,Approach 2: Biased energy (λ=0.05)
Approach 2: Biased energy,3,λ=0.05,620,0.5080645161290323,1.0,0.007724359584916716,0.4211199026171636,0.5588679245283019,Approach 2: Biased energy (λ=0.05)
Approach 2: Biased energy,4,λ=0.05,620,0.5064516129032258,1.0,0.007794247371983713,0.42084601339013983,0.5533333333333333,Approach 2: Biased energy (λ=0.05)
Approach 2: Biased energy,5,λ=0.05,620,0.4967741935483871,1.0,0.007672688206480288,0.42090687766281176,0.5618867924528301,Approach 2: Biased energy (λ=0.05)
