condition,n_generated,p1_kr_mean,p1_kr_std,valid_mean,valid_std,kl_mean,kl_std,novelty_mean,novelty_std,seqid_mean,seqid_std,diversity_mean,diversity_std
Full family,930,0.41161290322580646,0.006469509228598432,1.0,0.0,0.006892319203857728,7.105805257168275e-5,0.7017455409754977,0.00020914274174400188,0.5797484276729563,0.0002888471296444077,0.5559245283018868,0.0033759000399689472
Strong binders,930,1.0,0.0,1.0,0.0,0.009157831445934414,0.00012680041753185427,0.5701189563165107,0.0004083081669684924,0.6743599107324,0.0006299770746321272,0.500251572327044,0.0033684515322694
Weak binders,930,0.0,0.0,1.0,0.0,0.00952118924734574,3.08821795146885e-5,0.6602825351991539,0.00011227009051594513,0.604163116250761,0.00011951046033689915,0.5334591194968552,0.002729516273600972
