β,p1_kr,novelty
2.0,0.47258064516129034,0.4377967133292756
4.0,0.5419354838709678,0.41838101034692665
8.0,0.6161290322580645,0.3924223980523448
16.0,0.6903225806451613,0.35310407790626985
32.0,0.7693548387096775,0.2999695678636658
64.0,0.8403225806451613,0.24430919050517452
128.0,0.9225806451612903,0.20398660986001393
512.0,0.9967741935483871,0.17261107729762903
