approach,n_generated,p1_kr_frac,mean_valid_frac,kl_aa
Input: Strong binders,32,1.0,0.9964622641509435,0.0
Input: Full family,99,0.32323232323232326,0.9961882980750906,0.0
Baseline: Standard SA,930,0.38924731182795697,1.0,0.007400221710619411
Approach 1: Curated memory,930,1.0,1.0,0.009110896713751176
Approach 2: λ=0.05,620,0.5548387096774193,1.0,0.008597370312419363
Approach 2: λ=0.1,620,0.6790322580645162,1.0,0.009305190793827476
Approach 2: λ=0.2,620,0.864516129032258,1.0,0.011108259391582023
Approach 2: λ=0.5,620,0.9967741935483871,1.0,0.019312033773235687
Approach 3: Post-hoc filter,50,1.0,1.0,0.015579468911659884
Approach 4: weight=2.0,620,0.38548387096774195,1.0,0.010929265932006025
Approach 4: weight=3.0,620,0.38064516129032255,1.0,0.018992081581649348
Approach 4: weight=5.0,620,0.41451612903225804,1.0,0.045577816292602935
