n_consensus,p1_kr_frac,diversity,mean_novelty,mean_seqid,mean_valid,kl_aa,loop_entropy
0,0.4064516129032258,0.5629433962264151,0.420663420572124,0.579336579427876,1.0,0.007973185755775982,1.659579678277292
1,0.4129032258064516,0.562943396226415,0.420663420572124,0.579336579427876,1.0,0.008035515782683876,1.6584875208602963
3,0.41774193548387095,0.5629811320754716,0.42072428484479607,0.5792757151552039,1.0,0.007992620113166734,1.6565247346813223
5,0.4241935483870968,0.5626792452830187,0.4208155812538039,0.5791844187461961,1.0,0.008028464468581194,1.6569764562842775
10,0.4483870967741935,0.5626415094339621,0.42102860620815574,0.5789713937918443,1.0,0.008144006320983273,1.655743080048868
20,0.47580645161290325,0.5619999999999998,0.4207851491174679,0.5792148508825321,1.0,0.008390851903809953,1.6512253688480163
