ρ,f_eff,f_obs,attn_A,diversity
1.0,0.32323232323232326,0.38924731182795697,0.3188287061317011,0.5627672955974843
2.0,0.48854961832061067,0.42795698924731185,0.48783396604658047,0.5526415094339623
5.0,0.7048458149779736,0.46559139784946235,0.7049648092085451,0.5520754716981131
10.0,0.8268733850129198,0.5129032258064516,0.8267268196082214,0.5428930817610063
20.0,0.9052333804809052,0.5311827956989247,0.9061969538275975,0.5427672955974843
50.0,0.9598080383923215,0.5623655913978495,0.9611841214232464,0.5327672955974843
100.0,0.9794918885827977,0.5870967741935483,0.9810417436316105,0.5233962264150944
200.0,0.9896397092933354,0.5903225806451613,0.9905560446826888,0.5231446540880502
500.0,0.9958299620339827,0.6075268817204301,0.9961413669708591,0.5122012578616353
1000.0,0.9979106246296816,0.6086021505376344,0.9981225580786248,0.5118238993710693
