ρ,replicate,f_eff,K_eff,β_star,p1_kr_frac,diversity,mean_novelty,mean_seqid,mean_valid,kl_aa,loop_entropy,n_generated
1.0,1,0.32323232323232326,99.0,3.8483348970335034,0.4075268817204301,0.5561509433962263,0.42000405761817783,0.5799959423818222,1.0,0.006856138765633305,1.6762164891362181,930
1.0,2,0.32323232323232326,99.0,3.8483348970335034,0.4096774193548387,0.5587169811320754,0.4200852099817405,0.5799147900182595,1.0,0.006794374657262403,1.675554948407254,930
1.0,3,0.32323232323232326,99.0,3.8483348970335034,0.4064516129032258,0.5560377358490565,0.420105498072631,0.579894501927369,1.0,0.006921225694481871,1.6779433469810803,930
1.0,4,0.32323232323232326,99.0,3.8483348970335034,0.4118279569892473,0.5569056603773583,0.4203489551633188,0.5796510448366812,1.0,0.0069831631084186635,1.6762822169789147,930
1.0,5,0.32323232323232326,99.0,3.8483348970335034,0.42258064516129035,0.5538867924528301,0.42071414079935054,0.5792858592006495,1.0,0.006906693793492394,1.6717534919464763,930
2.0,1,0.48854961832061067,88.0051282051282,4.57890931841707,0.45268817204301076,0.546188679245283,0.4156624061675793,0.5843375938324207,1.0,0.00853550296302116,1.6504351220274183,930
2.0,2,0.48854961832061067,88.0051282051282,4.57890931841707,0.4505376344086022,0.5436226415094338,0.4153175086224383,0.5846824913775617,1.0,0.00828935388250751,1.6450125030949239,930
2.0,3,0.48854961832061067,88.0051282051282,4.57890931841707,0.45483870967741935,0.5454339622641509,0.41588557516737645,0.5841144248326235,1.0,0.008463499890726775,1.642349904182982,930
2.0,4,0.48854961832061067,88.0051282051282,4.57890931841707,0.46344086021505376,0.5512452830188679,0.4159464394400484,0.5840535605599516,1.0,0.007988758791912035,1.6417228734892513,930
2.0,5,0.48854961832061067,88.0051282051282,4.57890931841707,0.45806451612903226,0.5467169811320755,0.4160073037127203,0.5839926962872797,1.0,0.008197592676156659,1.640822098885521,930
5.0,1,0.7048458149779736,59.43367935409458,4.57890931841707,0.5032258064516129,0.5486415094339622,0.41653479407587723,0.5834652059241228,1.0,0.009036641432276823,1.6329385667631777,930
5.0,2,0.7048458149779736,59.43367935409458,4.57890931841707,0.5075268817204301,0.5457735849056603,0.4168391154392369,0.5831608845607631,1.0,0.00884869806629328,1.630482285017538,930
5.0,3,0.7048458149779736,59.43367935409458,4.57890931841707,0.5096774193548387,0.545509433962264,0.4162710488942988,0.5837289511057012,1.0,0.009080725048128768,1.628725595002502,930
5.0,4,0.7048458149779736,59.43367935409458,4.57890931841707,0.5053763440860215,0.5518113207547168,0.41631162507608,0.58368837492392,1.0,0.008728622721376877,1.637841887256954,930
5.0,5,0.7048458149779736,59.43367935409458,4.57890931841707,0.5021505376344086,0.550377358490566,0.4171840129843778,0.5828159870156222,1.0,0.008523953623368339,1.6406512463404057,930
10.0,1,0.8268733850129198,45.84297520661157,5.448177226584068,0.5526881720430108,0.5429056603773583,0.4113004666260903,0.5886995333739097,1.0,0.010502867411635863,1.6084712466106028,930
10.0,2,0.8268733850129198,45.84297520661157,5.448177226584068,0.5516129032258065,0.5410188679245282,0.4114019070805437,0.5885980929194563,1.0,0.010807684316529616,1.6060531546033092,930
10.0,3,0.8268733850129198,45.84297520661157,5.448177226584068,0.5440860215053763,0.5380754716981131,0.4115844998985595,0.5884155001014405,1.0,0.0110246257062751,1.610891872789158,930
10.0,4,0.8268733850129198,45.84297520661157,5.448177226584068,0.5451612903225806,0.5415094339622641,0.4114424832623248,0.5885575167376752,1.0,0.010804310213412298,1.6061595874510184,930
10.0,5,0.8268733850129198,45.84297520661157,5.448177226584068,0.5483870967741935,0.5422264150943397,0.4131263948062486,0.5868736051937514,1.0,0.010890805349849222,1.608706375367673,930
20.0,1,0.9052333804809052,38.8473614673195,5.448177226584068,0.567741935483871,0.5376603773584905,0.4128423615337795,0.5871576384662205,1.0,0.011317280097852383,1.605544622638401,930
20.0,2,0.9052333804809052,38.8473614673195,5.448177226584068,0.5795698924731183,0.5401132075471697,0.41274092107932614,0.5872590789206739,1.0,0.011008231481556453,1.6061526301267064,930
20.0,3,0.9052333804809052,38.8473614673195,5.448177226584068,0.5720430107526882,0.5457735849056602,0.41278149726110747,0.5872185027388925,1.0,0.011206376142651141,1.610334327117449,930
20.0,4,0.9052333804809052,38.8473614673195,5.448177226584068,0.5709677419354838,0.5413962264150942,0.4125380401704196,0.5874619598295804,1.0,0.010856997993071113,1.6103461939833918,930
20.0,5,0.9052333804809052,38.8473614673195,5.448177226584068,0.5623655913978495,0.5441509433962263,0.41294380198823266,0.5870561980117673,1.0,0.010976339944844862,1.6093273752704944,930
50.0,1,0.9598080383923215,34.707045349519774,6.482468428208699,0.5827956989247312,0.5308679245283018,0.40683708663014795,0.593162913369852,1.0,0.012604234665400754,1.5851940290502893,930
50.0,2,0.9598080383923215,34.707045349519774,6.482468428208699,0.5795698924731183,0.5274716981132075,0.40602556299452197,0.593974437005478,1.0,0.012579089038481595,1.5862705238045807,930
50.0,3,0.9598080383923215,34.707045349519774,6.482468428208699,0.567741935483871,0.5374339622641509,0.40614729153986584,0.5938527084601342,1.0,0.012544496730319427,1.5837131121038597,930
50.0,4,0.9598080383923215,34.707045349519774,6.482468428208699,0.5602150537634408,0.5379245283018868,0.4060458510854126,0.5939541489145874,1.0,0.012561566105788149,1.5837729425334064,930
50.0,5,0.9598080383923215,34.707045349519774,6.482468428208699,0.5526881720430108,0.5257358490566038,0.40564008926759965,0.5943599107324004,1.0,0.012260135612632549,1.5833155248633082,930
100.0,1,0.9794918885827977,33.347046087225486,7.713111225104184,0.5688172043010753,0.5254339622641508,0.39797119091093525,0.6020288090890648,1.0,0.014448543369066294,1.5542519386385427,930
100.0,2,0.9794918885827977,33.347046087225486,7.713111225104184,0.5709677419354838,0.5248679245283019,0.39764658145668486,0.6023534185433151,1.0,0.01483649002141786,1.553297673714213,930
100.0,3,0.9794918885827977,33.347046087225486,7.713111225104184,0.5795698924731183,0.5251698113207547,0.39764658145668486,0.6023534185433151,1.0,0.014601735566636062,1.5510143034711403,930
100.0,4,0.9794918885827977,33.347046087225486,7.713111225104184,0.5774193548387097,0.5236603773584905,0.39742341245688784,0.6025765875431122,1.0,0.014594294494073822,1.551705809553047,930
100.0,5,0.9794918885827977,33.347046087225486,7.713111225104184,0.567741935483871,0.5212075471698112,0.39646987218502716,0.6035301278149728,1.0,0.015311911293586913,1.5503455312877519,930
500.0,1,0.9958299620339827,32.268290878063894,9.17738133701449,0.5881720430107527,0.5144150943396226,0.3867721647392979,0.6132278352607021,1.0,0.017291009706689568,1.5141754677310653,930
500.0,2,0.9958299620339827,32.268290878063894,9.17738133701449,0.5849462365591398,0.5120754716981132,0.38790829782917435,0.6120917021708256,1.0,0.017260777545854263,1.5180064549267955,930
500.0,3,0.9958299620339827,32.268290878063894,9.17738133701449,0.5763440860215053,0.5141132075471698,0.38772570501115855,0.6122742949888414,1.0,0.017375029632634126,1.5191959124073073,930
500.0,4,0.9958299620339827,32.268290878063894,9.17738133701449,0.5763440860215053,0.5127924528301887,0.38756340028403335,0.6124365997159666,1.0,0.018012742019135313,1.515586323236714,930
500.0,5,0.9958299620339827,32.268290878063894,9.17738133701449,0.5806451612903226,0.5083018867924527,0.3871982146480015,0.6128017853519985,1.0,0.017966109384230468,1.5180681831045322,930
