ρ,β_mult,β_used,β_star,f_observed,diversity,mean_valid
10.0,0.5,2.724088613292034,5.448177226584068,0.4629032258064516,0.570880503144654,1.0
10.0,0.75,4.086132919938051,5.448177226584068,0.47580645161290325,0.5495597484276729,1.0
10.0,1.0,5.448177226584068,5.448177226584068,0.4870967741935484,0.5371698113207547,1.0
10.0,1.25,6.810221533230085,5.448177226584068,0.5016129032258064,0.5257861635220127,1.0
10.0,1.5,8.172265839876102,5.448177226584068,0.5145161290322581,0.509685534591195,1.0
10.0,2.0,10.896354453168136,5.448177226584068,0.5338709677419354,0.4964779874213837,1.0
10.0,3.0,16.344531679752205,5.448177226584068,0.5580645161290323,0.4816981132075472,1.0
50.0,0.5,3.2412342141043493,6.482468428208699,0.4854838709677419,0.5655974842767295,1.0
50.0,0.75,4.861851321156524,6.482468428208699,0.5096774193548387,0.5438993710691824,1.0
50.0,1.0,6.482468428208699,6.482468428208699,0.535483870967742,0.5291823899371071,1.0
50.0,1.25,8.103085535260874,6.482468428208699,0.5548387096774193,0.510062893081761,1.0
50.0,1.5,9.723702642313048,6.482468428208699,0.5741935483870968,0.5057861635220124,1.0
50.0,2.0,12.964936856417397,6.482468428208699,0.6064516129032258,0.4948427672955974,1.0
50.0,3.0,19.447405284626097,6.482468428208699,0.65,0.46729559748427674,1.0
200.0,0.5,3.856555612552092,7.713111225104184,0.49838709677419357,0.5574213836477987,1.0
200.0,0.75,5.784833418828137,7.713111225104184,0.5338709677419354,0.5310062893081762,1.0
200.0,1.0,7.713111225104184,7.713111225104184,0.5564516129032258,0.5183018867924527,1.0
200.0,1.25,9.64138903138023,7.713111225104184,0.5854838709677419,0.5013836477987421,1.0
200.0,1.5,11.569666837656275,7.713111225104184,0.5967741935483871,0.49597484276729553,1.0
200.0,2.0,15.426222450208368,7.713111225104184,0.6306451612903226,0.4783647798742139,1.0
200.0,3.0,23.13933367531255,7.713111225104184,0.6951612903225807,0.4611949685534591,1.0
