ρ,replicate,f_eff,f_obs,soft_p1,attn_binder,diversity,β
200.0,3,0.9896397092933354,0.5596153846153846,0.25985126219462723,0.9882342232171385,0.5164150943396226,7.713111225104184
200.0,4,0.9896397092933354,0.5365384615384615,0.26590544579267666,0.9851495161879636,0.5246540880503143,7.713111225104184
200.0,5,0.9896397092933354,0.5884615384615385,0.2763305581879644,0.9897517947941996,0.5220125786163521,7.713111225104184
500.0,1,0.9958299620339827,0.5653846153846154,0.2608792690360816,0.9937519346564976,0.5144654088050316,9.17738133701449
500.0,2,0.9958299620339827,0.6134615384615385,0.2718006796200316,0.9955828805026699,0.5119496855345912,9.17738133701449
500.0,3,0.9958299620339827,0.6134615384615385,0.27338738963514225,0.9970282525835472,0.5062264150943396,9.17738133701449
500.0,4,0.9958299620339827,0.573076923076923,0.26156181878242396,0.996044536572742,0.5126415094339623,9.17738133701449
500.0,5,0.9958299620339827,0.6442307692307693,0.2712160114123595,0.9980840226512605,0.507924528301887,9.17738133701449
1000.0,1,0.9979106246296816,0.6423076923076924,0.27777848652012327,0.9985808143985416,0.5152201257861636,9.17738133701449
1000.0,2,0.9979106246296816,0.6442307692307693,0.27331958639408804,0.997706979111397,0.5087421383647799,9.17738133701449
1000.0,3,0.9979106246296816,0.65,0.27605200563556126,0.9963824457298133,0.5089937106918239,9.17738133701449
1000.0,4,0.9979106246296816,0.6403846153846153,0.2742522840338649,0.9977975596200706,0.5085534591194969,9.17738133701449
1000.0,5,0.9979106246296816,0.6115384615384616,0.27220318738108257,0.9969547848541684,0.5115094339622641,9.17738133701449
