ρ,replicate,f_eff,f_obs,soft_p1,attn_binder,diversity,β
1.0,1,0.32323232323232326,0.4,0.23795575073604372,0.32776200775034314,0.5617610062893081,3.8483348970335034
1.0,2,0.32323232323232326,0.3903846153846154,0.2322292122584274,0.3283092742195513,0.5605031446540881,3.8483348970335034
1.0,3,0.32323232323232326,0.40576923076923077,0.24375903565942902,0.3354640821945652,0.5574842767295598,3.8483348970335034
1.0,4,0.32323232323232326,0.4076923076923077,0.24109627252734347,0.33869224567413586,0.5589937106918239,3.8483348970335034
1.0,5,0.32323232323232326,0.3769230769230769,0.228329103264072,0.3303825918728771,0.5547169811320756,3.8483348970335034
2.0,1,0.48854961832061067,0.4288461538461538,0.24161152729160423,0.4846722747914176,0.550880503144654,4.57890931841707
2.0,2,0.48854961832061067,0.4326923076923077,0.24511404865439512,0.5003186426882662,0.5515723270440251,4.57890931841707
2.0,3,0.48854961832061067,0.4576923076923077,0.2564707419828699,0.5108155037075539,0.5436477987421384,4.57890931841707
2.0,4,0.48854961832061067,0.43653846153846154,0.2434430540276109,0.5098233640499577,0.5513207547169812,4.57890931841707
2.0,5,0.48854961832061067,0.425,0.2429991844519577,0.5016372759316489,0.5431446540880502,4.57890931841707
5.0,1,0.7048458149779736,0.4480769230769231,0.24662975339439944,0.6824114505564856,0.5520754716981133,4.57890931841707
5.0,2,0.7048458149779736,0.4846153846153846,0.2759515745951537,0.7230433851581648,0.5533333333333332,4.57890931841707
5.0,3,0.7048458149779736,0.4673076923076923,0.26443878938017273,0.705308535803775,0.5442767295597484,4.57890931841707
5.0,4,0.7048458149779736,0.4576923076923077,0.2548048036206004,0.7183004475823,0.5457861635220127,4.57890931841707
5.0,5,0.7048458149779736,0.4980769230769231,0.2802658324283179,0.7188734167757617,0.5467924528301885,4.57890931841707
10.0,1,0.8268733850129198,0.49038461538461536,0.2556120262422983,0.8049770937598772,0.5367924528301886,5.448177226584068
10.0,2,0.8268733850129198,0.5230769230769231,0.2771319779911507,0.8318352349063696,0.539622641509434,5.448177226584068
10.0,3,0.8268733850129198,0.5038461538461538,0.26824370466430736,0.8237952942326439,0.540754716981132,5.448177226584068
10.0,4,0.8268733850129198,0.5076923076923077,0.2663618883033574,0.8354966873341986,0.5415723270440251,5.448177226584068
10.0,5,0.8268733850129198,0.5461538461538461,0.28038406773810115,0.8259334468709808,0.538238993710692,5.448177226584068
20.0,1,0.9052333804809052,0.4846153846153846,0.256223522046097,0.8995743358171323,0.5308805031446542,5.448177226584068
20.0,2,0.9052333804809052,0.5288461538461539,0.27970093254428974,0.8999368333444702,0.5347169811320756,5.448177226584068
20.0,3,0.9052333804809052,0.5365384615384615,0.2804264257654332,0.9052642586174117,0.5332704402515722,5.448177226584068
20.0,4,0.9052333804809052,0.525,0.27014791810957384,0.9126861218484809,0.5374213836477988,5.448177226584068
20.0,5,0.9052333804809052,0.5557692307692308,0.2767815583787097,0.9072252865054722,0.5383018867924528,5.448177226584068
50.0,1,0.9598080383923215,0.5365384615384615,0.26970856470384635,0.9527208021950804,0.5322012578616352,6.482468428208699
50.0,2,0.9598080383923215,0.5192307692307693,0.2622299566632135,0.9573026298246455,0.5284905660377359,6.482468428208699
50.0,3,0.9598080383923215,0.5653846153846154,0.27161822805301533,0.9605729989768055,0.5361635220125787,6.482468428208699
50.0,4,0.9598080383923215,0.5365384615384615,0.2793053371487707,0.9614839466666031,0.5262264150943397,6.482468428208699
50.0,5,0.9598080383923215,0.5307692307692308,0.27496858971098403,0.956613034427418,0.521132075471698,6.482468428208699
100.0,1,0.9794918885827977,0.5557692307692308,0.264154092594246,0.9834077714408769,0.519937106918239,7.713111225104184
100.0,2,0.9794918885827977,0.5826923076923077,0.2755483161662373,0.9824781443662332,0.5219496855345912,7.713111225104184
100.0,3,0.9794918885827977,0.575,0.2737619815258914,0.9790519698711246,0.5184276729559748,7.713111225104184
100.0,4,0.9794918885827977,0.5596153846153846,0.25876782466030246,0.9761561832726773,0.5165408805031446,7.713111225104184
100.0,5,0.9794918885827977,0.5326923076923077,0.264707205517985,0.9710569121381767,0.5242138364779874,7.713111225104184
200.0,1,0.9896397092933354,0.5826923076923077,0.2764950610724604,0.9916342660013724,0.5227044025157234,7.713111225104184
200.0,2,0.9896397092933354,0.5788461538461539,0.27478516282210036,0.9900337002058694,0.5187421383647797,7.713111225104184
