f_target,ρ,f_obs_combined_mean,f_obs_combined_std,f_obs_standard_mean,f_obs_standard_std,soft_p1_combined_mean,soft_p1_combined_std,soft_p1_standard_mean,soft_p1_standard_std
0.1,0.2326388888888889,0.31115384615384617,0.028178163100877326,0.35538461538461535,0.019677503449671507,0.28598042596174533,0.023929623571719724,0.21378301556986146,0.012627243372235825
0.2,0.5234375,0.345,0.00928270645088244,0.36230769230769233,0.02714877921781661,0.3132243583426262,0.00785622893103042,0.2188530948057775,0.017050116131919847
0.3,0.8973214285714285,0.37384615384615383,0.006464513966912157,0.3719230769230769,0.02046970629343872,0.3347727994739592,0.011027213577461696,0.221121891136923,0.012619594720695248
0.4,1.3958333333333335,0.4092307692307692,0.01328176665371692,0.4003846153846154,0.02437836610045494,0.3547739277201567,0.011335908006499277,0.2351453304603892,0.013224181895179054
0.5,2.09375,0.4292307692307692,0.03140567732190055,0.43153846153846154,0.025388985637791368,0.3652361809585237,0.02103433616461553,0.23677976359214759,0.011917178036993827
0.6,3.1406249999999996,0.4542307692307693,0.03454587037206203,0.4511538461538461,0.023300201893632248,0.38590130894648034,0.021718078530308372,0.24595995503005855,0.011943166200173867
0.7,4.885416666666666,0.48538461538461536,0.033018732355899624,0.4757692307692308,0.027250753206028197,0.40948942303572194,0.021805167833244772,0.2582754551390536,0.007644907545320248
0.8,8.375000000000002,0.5111538461538462,0.03354101966249686,0.5088461538461538,0.017761153675413564,0.4219192387076153,0.021626025289142852,0.26444552187899617,0.0050860010289081985
0.9,18.843750000000007,0.525,0.03620801996877448,0.5219230769230769,0.013570983664905655,0.43620497120424656,0.022874275204088534,0.27000368270025055,0.009025822774257505
0.95,39.781249999999964,0.5534615384615383,0.02482929887935294,0.538076923076923,0.01732904665549047,0.4506205208622115,0.015329547982693849,0.26248365266993545,0.007346678873209163
0.99,207.2812499999998,0.5915384615384616,0.03293462234658881,0.5865384615384615,0.016204134179185294,0.47225826642238433,0.01921279021612983,0.2720923451224097,0.007061728751046182
