method,p1_kr_mean,p1_kr_std,kl_mean,kl_std,novelty_mean,novelty_std,seqid_mean,seqid_std,diversity_mean,diversity_std
SA (full family),0.41161290322580646,0.006469509228598432,0.006892319203857728,7.105805257168275e-5,0.7017455409754281,0.0002091427417098336,0.5797484276729545,0.0002888471296447301,0.9987490602211851,9.817325886887224e-5
SA (strong binders),1.0,0.0,0.019467237141135057,0.0004479557653651676,0.4241561188154823,0.0015011337056520496,0.674522215459523,0.0006299770746321051,0.8512729215636851,0.0007110072112324849
HMM emit,0.14666666666666667,0.030222672973875486,0.029686843035866092,0.011328992403699566,0.6654534689643052,0.004091625608935382,0.22943396226415094,0.0064918167179015464,0.7501448928173678,0.0
Bootstrap,0.30133333333333334,0.04200529067206231,0.0009583156413125573,0.0003472724165951458,-6.616929226765933e-17,2.9594843010642095e-17,1.0,0.0,0.9998015599643308,0.0007305055291075722
