binder_frac_target,replicate,binder_frac_actual,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
0.6,4,0.6,0.8258064516129032,0.5064779874213838,0.3281801582471092,1.0,0.019064621221268705,1.4058942253679891
0.6,5,0.6,0.7435483870967742,0.4837106918238995,0.31509433962264166,1.0,0.026686580076911572,1.3277534980259116
0.7,1,0.7,0.8435483870967742,0.5055345911949685,0.32857577601947685,1.0,0.018253237421243382,1.4347526935962813
0.7,2,0.7,0.9064516129032258,0.49069182389937116,0.3212111990261719,1.0,0.017107556513710667,1.4035141137333302
0.7,3,0.7,0.8919354838709678,0.5021383647798743,0.32550213024954366,1.0,0.017725226591923285,1.3477000798460146
0.7,4,0.7,0.8274193548387097,0.4927672955974842,0.338618381010347,1.0,0.0224369314475975,1.333457709586171
0.7,5,0.7,0.8758064516129033,0.49276729559748433,0.3208155812538044,1.0,0.027002915720265412,1.3762667890543432
0.8,1,0.8,0.9629032258064516,0.48232704402515714,0.31895922093731,1.0,0.03397228446144045,1.3817622967308383
0.8,2,0.8,0.9387096774193548,0.4845911949685535,0.32060255629945245,1.0,0.021340040221251765,1.3680651236480477
0.8,3,0.8,0.9483870967741935,0.48578616352201265,0.3214242239805237,1.0,0.017023277839851046,1.3573312483738518
0.8,4,0.8,0.964516129032258,0.49723270440251566,0.32251978088861866,1.0,0.015330696256914418,1.4918657055644449
0.8,5,0.8,0.9806451612903225,0.4949056603773585,0.3262933657942789,1.0,0.017936286360556164,1.3472128408638042
0.9,1,0.9,0.9935483870967742,0.4981761006289308,0.3203590992087645,1.0,0.01848762498048957,1.3440221591710717
0.9,2,0.9,0.9838709677419355,0.5015723270440251,0.32090687766281223,1.0,0.016002896494707205,1.3664104723288737
0.9,3,0.9,0.9806451612903225,0.489748427672956,0.3170115642118079,1.0,0.020611566626313877,1.324007962413561
0.9,4,0.9,0.9903225806451613,0.4837106918238995,0.3202069385270847,1.0,0.019662713375372575,1.3335639284206342
0.9,5,0.9,0.967741935483871,0.4899999999999999,0.3104382227632383,1.0,0.01272752242660435,1.372152705876716
1.0,1,1.0,1.0,0.48761006289308173,0.31208155812538063,1.0,0.01846785547636422,1.3676449562635045
1.0,2,1.0,1.0,0.49433962264150944,0.3120511259890447,1.0,0.02251849136156417,1.3505881600067617
1.0,3,1.0,1.0,0.48056603773584905,0.3113207547169813,1.0,0.021326101352009356,1.380154398340881
1.0,4,1.0,1.0,0.4947798742138366,0.3217285453438834,1.0,0.021793228212864266,1.3752409472025615
1.0,5,1.0,1.0,0.4964779874213836,0.31780279975654324,1.0,0.022005219799210923,1.3646475907476878
