ρ,replicate,f_eff,f_obs,soft_p1,attn_binder,diversity,β
1.0,1,0.32323232323232326,0.36538461538461536,0.34409272567831417,0.33826024436021823,0.5005660377358491,3.8483348970335034
1.0,2,0.32323232323232326,0.37115384615384617,0.3253279469919169,0.33683717642123784,0.5013836477987421,3.8483348970335034
1.0,3,0.32323232323232326,0.4,0.3482581805953487,0.33718599954921696,0.5037106918238994,3.8483348970335034
1.0,4,0.32323232323232326,0.36346153846153845,0.3353338248560991,0.32619344699511604,0.500754716981132,3.8483348970335034
1.0,5,0.32323232323232326,0.36346153846153845,0.33364905360350877,0.32176087936305436,0.5063522012578617,3.8483348970335034
2.0,1,0.48854961832061067,0.4288461538461538,0.3771318262284096,0.5024788786714282,0.4918238993710692,4.57890931841707
2.0,2,0.48854961832061067,0.4153846153846154,0.3596342578702607,0.5037523248386011,0.49094339622641514,4.57890931841707
2.0,3,0.48854961832061067,0.4403846153846154,0.38328213981053016,0.511309728316802,0.49396226415094346,4.57890931841707
2.0,4,0.48854961832061067,0.40384615384615385,0.35907136941477696,0.4837183098356612,0.4948427672955974,4.57890931841707
2.0,5,0.48854961832061067,0.40576923076923077,0.3652844760107756,0.4799560612689423,0.48943396226415115,4.57890931841707
5.0,1,0.7048458149779736,0.49038461538461536,0.4142268713735074,0.7097657532697454,0.4884276729559748,4.57890931841707
5.0,2,0.7048458149779736,0.4442307692307692,0.3916583154156312,0.7134895474736445,0.491572327044025,4.57890931841707
5.0,3,0.7048458149779736,0.5134615384615384,0.4239529514224258,0.7288423712960271,0.49245283018867925,4.57890931841707
5.0,4,0.7048458149779736,0.47884615384615387,0.3998350294556496,0.6989798915824602,0.4863522012578616,4.57890931841707
5.0,5,0.7048458149779736,0.4826923076923077,0.4082072433937676,0.6939793026538462,0.49761006289308185,4.57890931841707
10.0,1,0.8268733850129198,0.5230769230769231,0.4301739367346161,0.8217016099040328,0.4795597484276729,5.448177226584068
10.0,2,0.8268733850129198,0.5192307692307693,0.44454357151828194,0.8423741881858294,0.4845911949685535,5.448177226584068
10.0,3,0.8268733850129198,0.5346153846153846,0.4407423435802332,0.8395552222326721,0.47572327044025164,5.448177226584068
10.0,4,0.8268733850129198,0.5057692307692307,0.42098911197844213,0.816263420199605,0.478553459119497,5.448177226584068
10.0,5,0.8268733850129198,0.5230769230769231,0.43108400783427536,0.8208333445806105,0.47364779874213847,5.448177226584068
20.0,1,0.9052333804809052,0.5288461538461539,0.4335906956858036,0.90289382444931,0.4812578616352202,5.448177226584068
20.0,2,0.9052333804809052,0.5461538461538461,0.46540003492088206,0.9063727229448809,0.4863522012578616,5.448177226584068
20.0,3,0.9052333804809052,0.5269230769230769,0.4262825075498961,0.9021009756482782,0.4894339622641509,5.448177226584068
20.0,4,0.9052333804809052,0.5596153846153846,0.46049936416351794,0.9144846859032348,0.479874213836478,5.448177226584068
20.0,5,0.9052333804809052,0.6019230769230769,0.4674055378091826,0.901395371521422,0.4849056603773586,5.448177226584068
50.0,1,0.9598080383923215,0.5826923076923077,0.4755974865575192,0.9690373720359708,0.47201257861635204,6.482468428208699
50.0,2,0.9598080383923215,0.5596153846153846,0.4599061050710464,0.9630191025455139,0.4677358490566038,6.482468428208699
50.0,3,0.9598080383923215,0.5615384615384615,0.44768033393515855,0.9605938760818273,0.4682389937106919,6.482468428208699
50.0,4,0.9598080383923215,0.5846153846153846,0.4720270052103268,0.9606747702742449,0.47238993710691835,6.482468428208699
