rho,K_eff,beta,H,beta_star
1000.0,32.134073000534656,1.3296511785184981,3.4631514371627743,9.258508187540041
1000.0,32.134073000534656,1.481017287519741,3.457387820881433,9.258508187540041
1000.0,32.134073000534656,1.6496147571397173,3.449796749558015,9.258508187540041
1000.0,32.134073000534656,1.8374051875723676,3.4397972598871185,9.258508187540041
1000.0,32.134073000534656,2.0465734855401188,3.426657050788768,9.258508187540041
1000.0,32.134073000534656,2.2795532852771285,3.409496152152431,9.258508187540041
1000.0,32.134073000534656,2.539055263410862,3.387339145365104,9.258508187540041
1000.0,32.134073000534656,2.8280986771803636,3.3592521548937184,9.258508187540041
1000.0,32.134073000534656,3.1500464929325522,3.3245944838062287,9.258508187540041
1000.0,32.134073000534656,3.508644513610032,3.2833684516344754,9.258508187540041
1000.0,32.134073000534656,3.90806496047148,3.2365517852555663,9.258508187540041
1000.0,32.134073000534656,4.352955016109809,3.186191569322902,9.258508187540041
1000.0,32.134073000534656,4.848490893557097,3.1350515248037225,9.258508187540041
1000.0,32.134073000534656,5.400438060560257,3.0858042225076527,9.258508187540041
1000.0,32.134073000534656,6.015218319725689,3.0399115289062855,9.258508187540041
1000.0,32.134073000534656,6.699984524997928,2.9958070325323023,9.258508187540041
1000.0,32.134073000534656,7.462703803784599,2.9436995140172892,9.258508187540041
1000.0,32.134073000534656,8.312250253001645,2.848544401002829,9.258508187540041
1000.0,32.134073000534656,9.258508187540041,2.609941729827004,9.258508187540041
1000.0,32.134073000534656,10.312487142430719,2.060085358479452,9.258508187540041
1000.0,32.134073000534656,11.486449966736501,1.2333583312680294,9.258508187540041
1000.0,32.134073000534656,12.794055499519601,0.5392874831423387,9.258508187540041
1000.0,32.134073000534656,14.250517487893111,0.18771076592777022,9.258508187540041
1000.0,32.134073000534656,15.87278159613836,0.059221215982528476,9.258508187540041
1000.0,32.134073000534656,17.679722565356304,0.019972238931995658,9.258508187540041
1000.0,32.134073000534656,19.692363817568932,0.008415074489258989,9.258508187540041
1000.0,32.134073000534656,21.93412205932331,0.004365744334680725,9.258508187540041
1000.0,32.134073000534656,24.431079730716,0.0024375631637383794,9.258508187540041
1000.0,32.134073000534656,27.21228846973129,0.001334996447497993,9.258508187540041
1000.0,32.134073000534656,30.310107122644478,0.0006904669526029675,9.258508187540041
1000.0,32.134073000534656,33.760578233178485,0.00033167047939007777,9.258508187540041
1000.0,32.134073000534656,37.603847390794755,0.00014622581801880408,9.258508187540041
1000.0,32.134073000534656,41.88463031715829,5.8473589983246056e-5,9.258508187540041
1000.0,32.134073000534656,46.652733125240424,2.0938231630635715e-5,9.258508187540041
1000.0,32.134073000534656,51.9636318041775,6.620124753198197e-6,9.258508187540041
1000.0,32.134073000534656,57.879117672084135,1.8200046755934288e-6,9.258508187540041
1000.0,32.134073000534656,64.468016306544,4.2782239362663527e-7,9.258508187540041
