rho,K_eff,beta,H,beta_star
1.0,99.0,0.1,4.595029910706257,4.352955016109809
1.0,99.0,0.1113838961260423,4.595007715095361,4.352955016109809
1.0,99.0,0.1240637231621698,4.594979960982874,4.352955016109809
1.0,99.0,0.13818700853705185,4.594945224281438,4.352955016109809
1.0,99.0,0.15391807404859503,4.5949017032419786,4.352955016109809
1.0,99.0,0.17143994771749196,4.594847113127595,4.352955016109809
1.0,99.0,0.19095649328419248,4.594778549403401,4.352955016109809
1.0,99.0,0.21269478212559784,4.594692309161546,4.352955016109809
1.0,99.0,0.23690773518828787,4.594583656781177,4.352955016109809
1.0,99.0,0.2638770656766819,4.594446514603779,4.352955016109809
1.0,99.0,0.2939165567337638,4.594273052013361,4.352955016109809
1.0,99.0,0.3273757122495756,4.594053135743745,4.352955016109809
1.0,99.0,0.3646438232739584,4.593773588975389,4.352955016109809
1.0,99.0,0.4061544973454951,4.593417184518801,4.352955016109809
1.0,99.0,0.4523907034345554,4.592961264544327,4.352955016109809
1.0,99.0,0.5038903911974172,4.592375830352357,4.352955016109809
1.0,99.0,0.5612527499204393,4.5916208718319105,4.352955016109809
1.0,99.0,0.6251451799759381,4.590642593597417,4.352955016109809
1.0,99.0,0.6963110579013589,4.589368020916039,4.352955016109809
1.0,99.0,0.7755783854469959,4.587697197048594,4.352955016109809
1.0,99.0,0.8638694232223177,4.585491754901769,4.352955016109809
1.0,99.0,0.9622114210265871,4.582557961554469,4.352955016109809
1.0,99.0,1.0717485697091693,4.5786212312922405,4.352955016109809
1.0,99.0,1.193755313617205,4.573287311363381,4.352955016109809
1.0,99.0,1.3296511785184981,4.565982421584749,4.352955016109809
1.0,99.0,1.481017287519741,4.555859862898404,4.352955016109809
1.0,99.0,1.6496147571397173,4.54165291661147,4.352955016109809
1.0,99.0,1.8374051875723676,4.52144176864378,4.352955016109809
1.0,99.0,2.0465734855401188,4.492284339593452,4.352955016109809
1.0,99.0,2.2795532852771285,4.449638183791288,4.352955016109809
1.0,99.0,2.539055263410862,4.386483456656124,4.352955016109809
1.0,99.0,2.8280986771803636,4.292085502766813,4.352955016109809
1.0,99.0,3.1500464929325522,4.1505261516153125,4.352955016109809
1.0,99.0,3.508644513610032,3.9397466695511434,4.352955016109809
1.0,99.0,3.90806496047148,3.6332394062485056,4.352955016109809
1.0,99.0,4.352955016109809,3.2083944537060147,4.352955016109809
1.0,99.0,4.848490893557097,2.664611542953578,4.352955016109809
1.0,99.0,5.400438060560257,2.0438774838097187,4.352955016109809
1.0,99.0,6.015218319725689,1.4300067851042075,4.352955016109809
1.0,99.0,6.699984524997928,0.9112296188733945,4.352955016109809
1.0,99.0,7.462703803784599,0.5348022018116437,4.352955016109809
1.0,99.0,8.312250253001645,0.295951193463831,4.352955016109809
1.0,99.0,9.258508187540041,0.16007051034363579,4.352955016109809
1.0,99.0,10.312487142430719,0.08861225239968325,4.352955016109809
1.0,99.0,11.486449966736501,0.05232090521695184,4.352955016109809
1.0,99.0,12.794055499519601,0.03332766803118871,4.352955016109809
1.0,99.0,14.250517487893111,0.022356064109648553,4.352955016109809
1.0,99.0,15.87278159613836,0.015212273484906044,4.352955016109809
1.0,99.0,17.679722565356304,0.010190405517532891,4.352955016109809
1.0,99.0,19.692363817568932,0.006598725352023385,4.352955016109809
1.0,99.0,21.93412205932331,0.004086717142551049,4.352955016109809
1.0,99.0,24.431079730716,0.002402596512241309,4.352955016109809
1.0,99.0,27.21228846973129,0.0013314826769820075,4.352955016109809
1.0,99.0,30.310107122644478,0.0006901895884717271,4.352955016109809
1.0,99.0,33.760578233178485,0.00033165370425407715,4.352955016109809
1.0,99.0,37.603847390794755,0.0001462250636098803,4.352955016109809
1.0,99.0,41.88463031715829,5.8473565634605385e-5,4.352955016109809
1.0,99.0,46.652733125240424,2.093823108932004e-5,4.352955016109809
1.0,99.0,51.9636318041775,6.620124745311728e-6,4.352955016109809
1.0,99.0,57.879117672084135,1.8200046755229152e-6,4.352955016109809
1.0,99.0,64.468016306544,4.2782239362625426e-7,4.352955016109809
1.0,99.0,71.80698831740096,8.441629957773692e-8,4.352955016109809
1.0,99.0,79.98142127869323,1.370009054293534e-8,4.352955016109809
1.0,99.0,89.08642319719195,1.7880201955645176e-9,4.352955016109809
1.0,99.0,99.22792907636669,1.830272985819533e-10,4.352955016109809
1.0,99.0,110.52393345044318,1.4291679356524019e-11,4.352955016109809
1.0,99.0,123.10586322885784,8.253500946390336e-13,4.352955016109809
1.0,99.0,137.12010682389868,3.4055555375992483e-14,4.352955016109809
1.0,99.0,152.72971735264952,9.625504315776486e-16,4.352955016109809
1.0,99.0,170.11630972967308,1.7632907376935575e-17,4.352955016109809
1.0,99.0,189.4821737227554,2.0769890986861939e-19,4.352955016109809
1.0,99.0,211.05262755672084,1.4575769567395586e-21,4.352955016109809
1.0,99.0,235.07863944906103,5.745289163203229e-24,4.352955016109809
1.0,99.0,261.83974757845556,1.1911236010089307e-26,4.352955016109809
1.0,99.0,291.64731245947826,1.2072610829161777e-29,4.352955016109809
1.0,99.0,324.84813956425916,0.0,4.352955016109809
1.0,99.0,361.82851433963526,0.0,4.352955016109809
1.0,99.0,403.0186965664617,0.0,4.352955016109809
1.0,99.0,448.89792635211717,0.0,4.352955016109809
1.0,99.0,499.99999999999994,0.0,4.352955016109809
5.0,59.43367935409458,0.1,4.29123902607774,4.848490893557097
5.0,59.43367935409458,0.1113838961260423,4.291308104157055,4.848490893557097
5.0,59.43367935409458,0.1240637231621698,4.29138253360797,4.848490893557097
5.0,59.43367935409458,0.13818700853705185,4.291462276260262,4.848490893557097
5.0,59.43367935409458,0.15391807404859503,4.2915471165734065,4.848490893557097
5.0,59.43367935409458,0.17143994771749196,4.291636592717788,4.848490893557097
5.0,59.43367935409458,0.19095649328419248,4.291729905092052,4.848490893557097
5.0,59.43367935409458,0.21269478212559784,4.2918257948608405,4.848490893557097
5.0,59.43367935409458,0.23690773518828787,4.2919223824940085,4.848490893557097
5.0,59.43367935409458,0.2638770656766819,4.292016952683755,4.848490893557097
5.0,59.43367935409458,0.2939165567337638,4.292105666985618,4.848490893557097
5.0,59.43367935409458,0.3273757122495756,4.292183178450438,4.848490893557097
5.0,59.43367935409458,0.3646438232739584,4.292242112468876,4.848490893557097
5.0,59.43367935409458,0.4061544973454951,4.292272363667945,4.848490893557097
5.0,59.43367935409458,0.4523907034345554,4.292260137923307,4.848490893557097
5.0,59.43367935409458,0.5038903911974172,4.292186638264917,4.848490893557097
5.0,59.43367935409458,0.5612527499204393,4.292026248898366,4.848490893557097
5.0,59.43367935409458,0.6251451799759381,4.291744005422119,4.848490893557097
5.0,59.43367935409458,0.6963110579013589,4.291292040263669,4.848490893557097
5.0,59.43367935409458,0.7755783854469959,4.290604542755879,4.848490893557097
5.0,59.43367935409458,0.8638694232223177,4.28959054558177,4.848490893557097
5.0,59.43367935409458,0.9622114210265871,4.288123500401188,4.848490893557097
5.0,59.43367935409458,1.0717485697091693,4.286026067824179,4.848490893557097
5.0,59.43367935409458,1.193755313617205,4.283047715154891,4.848490893557097
5.0,59.43367935409458,1.3296511785184981,4.278831425981301,4.848490893557097
5.0,59.43367935409458,1.481017287519741,4.272863826591706,4.848490893557097
5.0,59.43367935409458,1.6496147571397173,4.264399937411065,4.848490893557097
5.0,59.43367935409458,1.8374051875723676,4.252348957819258,4.848490893557097
5.0,59.43367935409458,2.0465734855401188,4.2350999977233394,4.848490893557097
5.0,59.43367935409458,2.2795532852771285,4.210254699696966,4.848490893557097
5.0,59.43367935409458,2.539055263410862,4.174213797507742,4.848490893557097
5.0,59.43367935409458,2.8280986771803636,4.121530557360344,4.848490893557097
5.0,59.43367935409458,3.1500464929325522,4.043889972403593,4.848490893557097
5.0,59.43367935409458,3.508644513610032,3.928526069784128,4.848490893557097
5.0,59.43367935409458,3.90806496047148,3.756054567010046,4.848490893557097
5.0,59.43367935409458,4.352955016109809,3.498816596440977,4.848490893557097
5.0,59.43367935409458,4.848490893557097,3.1243032183109003,4.848490893557097
5.0,59.43367935409458,5.400438060560257,2.6130058413748958,4.848490893557097
5.0,59.43367935409458,6.015218319725689,1.9930276722391724,4.848490893557097
5.0,59.43367935409458,6.699984524997928,1.3586133286548532,4.848490893557097
5.0,59.43367935409458,7.462703803784599,0.8251330895681231,4.848490893557097
5.0,59.43367935409458,8.312250253001645,0.45413218028951013,4.848490893557097
5.0,59.43367935409458,9.258508187540041,0.23440065757476777,4.848490893557097
5.0,59.43367935409458,10.312487142430719,0.11926912281590837,4.848490893557097
5.0,59.43367935409458,11.486449966736501,0.06349140135015793,4.848490893557097
5.0,59.43367935409458,12.794055499519601,0.036916575678883,4.848490893557097
5.0,59.43367935409458,14.250517487893111,0.023365465514228433,4.848490893557097
5.0,59.43367935409458,15.87278159613836,0.015458275334629044,4.848490893557097
5.0,59.43367935409458,17.679722565356304,0.01024173754402834,4.848490893557097
5.0,59.43367935409458,19.692363817568932,0.00660777602924988,4.848490893557097
5.0,59.43367935409458,21.93412205932331,0.004088046248429143,4.848490893557097
5.0,59.43367935409458,24.431079730716,0.0024027565058834053,4.848490893557097
5.0,59.43367935409458,27.21228846973129,0.0013314981812725733,4.848490893557097
5.0,59.43367935409458,30.310107122644478,0.0006901907726776093,4.848490893557097
5.0,59.43367935409458,33.760578233178485,0.00033165377377122093,4.848490893557097
5.0,59.43367935409458,37.603847390794755,0.0001462250666533504,4.848490893557097
5.0,59.43367935409458,41.88463031715829,5.847356573049135e-5,4.848490893557097
5.0,59.43367935409458,46.652733125240424,2.0938231091417115e-5,4.848490893557097
5.0,59.43367935409458,51.9636318041775,6.620124745340931e-6,4.848490893557097
5.0,59.43367935409458,57.879117672084135,1.8200046755231784e-6,4.848490893557097
5.0,59.43367935409458,64.468016306544,4.278223936262556e-7,4.848490893557097
5.0,59.43367935409458,71.80698831740096,8.441629957773692e-8,4.848490893557097
5.0,59.43367935409458,79.98142127869323,1.370009054293534e-8,4.848490893557097
5.0,59.43367935409458,89.08642319719195,1.7880201955645176e-9,4.848490893557097
5.0,59.43367935409458,99.22792907636669,1.830272985819533e-10,4.848490893557097
5.0,59.43367935409458,110.52393345044318,1.4291679356524019e-11,4.848490893557097
5.0,59.43367935409458,123.10586322885784,8.253500946390336e-13,4.848490893557097
5.0,59.43367935409458,137.12010682389868,3.405555537599294e-14,4.848490893557097
5.0,59.43367935409458,152.72971735264952,9.625504315776616e-16,4.848490893557097
5.0,59.43367935409458,170.11630972967308,1.7632907376935575e-17,4.848490893557097
5.0,59.43367935409458,189.4821737227554,2.0769890986861939e-19,4.848490893557097
5.0,59.43367935409458,211.05262755672084,1.4575769567395586e-21,4.848490893557097
5.0,59.43367935409458,235.07863944906103,5.745289163203229e-24,4.848490893557097
5.0,59.43367935409458,261.83974757845556,1.1911236010089307e-26,4.848490893557097
5.0,59.43367935409458,291.64731245947826,1.2072610829161777e-29,4.848490893557097
5.0,59.43367935409458,324.84813956425916,0.0,4.848490893557097
5.0,59.43367935409458,361.82851433963526,0.0,4.848490893557097
5.0,59.43367935409458,403.0186965664617,0.0,4.848490893557097
5.0,59.43367935409458,448.89792635211717,0.0,4.848490893557097
5.0,59.43367935409458,499.99999999999994,0.0,4.848490893557097
20.0,38.8473614673195,0.1,3.8497132975171837,6.015218319725689
20.0,38.8473614673195,0.1113838961260423,3.849763013482721,6.015218319725689
20.0,38.8473614673195,0.1240637231621698,3.849816033615474,6.015218319725689
20.0,38.8473614673195,0.13818700853705185,3.849872132507156,6.015218319725689
20.0,38.8473614673195,0.15391807404859503,3.849930900498947,6.015218319725689
20.0,38.8473614673195,0.17143994771749196,3.8499916789513393,6.015218319725689
20.0,38.8473614673195,0.19095649328419248,3.8500534753113436,6.015218319725689
20.0,38.8473614673195,0.21269478212559784,3.850114851616362,6.015218319725689
20.0,38.8473614673195,0.23690773518828787,3.850173777951112,6.015218319725689
20.0,38.8473614673195,0.2638770656766819,3.8502274394843794,6.015218319725689
20.0,38.8473614673195,0.2939165567337638,3.8502719817565714,6.015218319725689
20.0,38.8473614673195,0.3273757122495756,3.8503021734417637,6.015218319725689
20.0,38.8473614673195,0.3646438232739584,3.8503109582645427,6.015218319725689
20.0,38.8473614673195,0.4061544973454951,3.8502888572497,6.015218319725689
20.0,38.8473614673195,0.4523907034345554,3.8502231677913272,6.015218319725689
20.0,38.8473614673195,0.5038903911974172,3.8500968853955393,6.015218319725689
20.0,38.8473614673195,0.5612527499204393,3.8498872449007577,6.015218319725689
20.0,38.8473614673195,0.6251451799759381,3.849563737050567,6.015218319725689
20.0,38.8473614673195,0.6963110579013589,3.8490853987581786,6.015218319725689
20.0,38.8473614673195,0.7755783854469959,3.8483970950461055,6.015218319725689
20.0,38.8473614673195,0.8638694232223177,3.8474243998793263,6.015218319725689
20.0,38.8473614673195,0.9622114210265871,3.8460665339929347,6.015218319725689
20.0,38.8473614673195,1.0717485697091693,3.844186625277628,6.015218319725689
20.0,38.8473614673195,1.193755313617205,3.8415983270813756,6.015218319725689
20.0,38.8473614673195,1.3296511785184981,3.8380475955367417,6.015218319725689
20.0,38.8473614673195,1.481017287519741,3.8331882823217724,6.015218319725689
20.0,38.8473614673195,1.6496147571397173,3.8265503471418945,6.015218319725689
20.0,38.8473614673195,1.8374051875723676,3.817500290508531,6.015218319725689
20.0,38.8473614673195,2.0465734855401188,3.805195278102931,6.015218319725689
20.0,38.8473614673195,2.2795532852771285,3.788535266079837,6.015218319725689
20.0,38.8473614673195,2.539055263410862,3.766118477950404,6.015218319725689
20.0,38.8473614673195,2.8280986771803636,3.736193935850993,6.015218319725689
20.0,38.8473614673195,3.1500464929325522,3.69655123798765,6.015218319725689
20.0,38.8473614673195,3.508644513610032,3.6441357069415927,6.015218319725689
20.0,38.8473614673195,3.90806496047148,3.573861235938373,6.015218319725689
20.0,38.8473614673195,4.352955016109809,3.4756566325922975,6.015218319725689
20.0,38.8473614673195,4.848490893557097,3.3287487200023747,6.015218319725689
20.0,38.8473614673195,5.400438060560257,3.0945759074624717,6.015218319725689
20.0,38.8473614673195,6.015218319725689,2.71921022379938,6.015218319725689
20.0,38.8473614673195,6.699984524997928,2.1708975955080767,6.015218319725689
20.0,38.8473614673195,7.462703803784599,1.5122243980054333,6.015218319725689
20.0,38.8473614673195,8.312250253001645,0.9026464175611386,6.015218319725689
20.0,38.8473614673195,9.258508187540041,0.4695506261712297,6.015218319725689
20.0,38.8473614673195,10.312487142430719,0.22258378110620108,6.015218319725689
20.0,38.8473614673195,11.486449966736501,0.10261173252362572,6.015218319725689
20.0,38.8473614673195,12.794055499519601,0.049824444844711754,6.015218319725689
20.0,38.8473614673195,14.250517487893111,0.027073456579159626,6.015218319725689
20.0,38.8473614673195,15.87278159613836,0.016378765635056795,6.015218319725689
20.0,38.8473614673195,17.679722565356304,0.01043708804169408,6.015218319725689
20.0,38.8473614673195,19.692363817568932,0.0066427732121041305,6.015218319725689
20.0,38.8473614673195,21.93412205932331,0.004093264711834151,6.015218319725689
20.0,38.8473614673195,24.431079730716,0.0024033939985767575,6.015218319725689
20.0,38.8473614673195,27.21228846973129,0.001331560837499913,6.015218319725689
20.0,38.8473614673195,30.310107122644478,0.0006901956229994284,6.015218319725689
20.0,38.8473614673195,33.760578233178485,0.000331654062088162,6.015218319725689
20.0,38.8473614673195,37.603847390794755,0.00014622507942079228,6.015218319725689
20.0,38.8473614673195,41.88463031715829,5.847356613693569e-5,6.015218319725689
20.0,38.8473614673195,46.652733125240424,2.0938231100336593e-5,6.015218319725689
20.0,38.8473614673195,51.9636318041775,6.620124745466749e-6,6.015218319725689
20.0,38.8473614673195,57.879117672084135,1.820004675524319e-6,6.015218319725689
20.0,38.8473614673195,64.468016306544,4.278223936262592e-7,6.015218319725689
20.0,38.8473614673195,71.80698831740096,8.44162995777364e-8,6.015218319725689
20.0,38.8473614673195,79.98142127869323,1.370009054293534e-8,6.015218319725689
20.0,38.8473614673195,89.08642319719195,1.7880201955645176e-9,6.015218319725689
20.0,38.8473614673195,99.22792907636669,1.830272985819533e-10,6.015218319725689
20.0,38.8473614673195,110.52393345044318,1.4291679356524019e-11,6.015218319725689
20.0,38.8473614673195,123.10586322885784,8.253500946390336e-13,6.015218319725689
20.0,38.8473614673195,137.12010682389868,3.405555537599294e-14,6.015218319725689
20.0,38.8473614673195,152.72971735264952,9.625504315776616e-16,6.015218319725689
20.0,38.8473614673195,170.11630972967308,1.7632907376935575e-17,6.015218319725689
20.0,38.8473614673195,189.4821737227554,2.0769890986861939e-19,6.015218319725689
20.0,38.8473614673195,211.05262755672084,1.4575769567395586e-21,6.015218319725689
20.0,38.8473614673195,235.07863944906103,5.745289163203229e-24,6.015218319725689
20.0,38.8473614673195,261.83974757845556,1.1911236010089307e-26,6.015218319725689
20.0,38.8473614673195,291.64731245947826,1.2072610829161777e-29,6.015218319725689
20.0,38.8473614673195,324.84813956425916,0.0,6.015218319725689
20.0,38.8473614673195,361.82851433963526,0.0,6.015218319725689
20.0,38.8473614673195,403.0186965664617,0.0,6.015218319725689
20.0,38.8473614673195,448.89792635211717,0.0,6.015218319725689
20.0,38.8473614673195,499.99999999999994,0.0,6.015218319725689
100.0,33.347046087225486,0.1,3.581039698764627,7.462703803784599
100.0,33.347046087225486,0.1113838961260423,3.581045871625605,7.462703803784599
100.0,33.347046087225486,0.1240637231621698,3.5810503331959262,7.462703803784599
100.0,33.347046087225486,0.13818700853705185,3.5810522731631638,7.462703803784599
100.0,33.347046087225486,0.15391807404859503,3.581050627127978,7.462703803784599
100.0,33.347046087225486,0.17143994771749196,3.5810440032123383,7.462703803784599
100.0,33.347046087225486,0.19095649328419248,3.581030587353678,7.462703803784599
100.0,33.347046087225486,0.21269478212559784,3.581008020797058,7.462703803784599
100.0,33.347046087225486,0.23690773518828787,3.5809732411786825,7.462703803784599
100.0,33.347046087225486,0.2638770656766819,3.5809222757263983,7.462703803784599
100.0,33.347046087225486,0.2939165567337638,3.5808499712009962,7.462703803784599
100.0,33.347046087225486,0.3273757122495756,3.5807496398663914,7.462703803784599
100.0,33.347046087225486,0.3646438232739584,3.5806125934462174,7.462703803784599
100.0,33.347046087225486,0.4061544973454951,3.5804275269126506,7.462703803784599
100.0,33.347046087225486,0.4523907034345554,3.580179699962578,7.462703803784599
100.0,33.347046087225486,0.5038903911974172,3.579849844647298,7.462703803784599
100.0,33.347046087225486,0.5612527499204393,3.5794127007673757,7.462703803784599
100.0,33.347046087225486,0.6251451799759381,3.5788350435896037,7.462703803784599
100.0,33.347046087225486,0.6963110579013589,3.57807301775872,7.462703803784599
100.0,33.347046087225486,0.7755783854469959,3.577068523087828,7.462703803784599
100.0,33.347046087225486,0.8638694232223177,3.5757443088670327,7.462703803784599
100.0,33.347046087225486,0.9622114210265871,3.5739973232202416,7.462703803784599
100.0,33.347046087225486,1.0717485697091693,3.5716897419727487,7.462703803784599
100.0,33.347046087225486,1.193755313617205,3.568636999284334,7.462703803784599
100.0,33.347046087225486,1.3296511785184981,3.564592141536225,7.462703803784599
100.0,33.347046087225486,1.481017287519741,3.559226108334496,7.462703803784599
100.0,33.347046087225486,1.6496147571397173,3.552104474508347,7.462703803784599
100.0,33.347046087225486,1.8374051875723676,3.542663416612192,7.462703803784599
100.0,33.347046087225486,2.0465734855401188,3.530192173394741,7.462703803784599
100.0,33.347046087225486,2.2795532852771285,3.5138370127628136,7.462703803784599
100.0,33.347046087225486,2.539055263410862,3.4926521718374977,7.462703803784599
100.0,33.347046087225486,2.8280986771803636,3.4657306141230757,7.462703803784599
100.0,33.347046087225486,3.1500464929325522,3.4324344798525543,7.462703803784599
100.0,33.347046087225486,3.508644513610032,3.3926797895979854,7.462703803784599
100.0,33.347046087225486,3.90806496047148,3.347079639463628,7.462703803784599
100.0,33.347046087225486,4.352955016109809,3.296515989364832,7.462703803784599
100.0,33.347046087225486,4.848490893557097,3.2404146375629237,7.462703803784599
100.0,33.347046087225486,5.400438060560257,3.172516905265237,7.462703803784599
100.0,33.347046087225486,6.015218319725689,3.0720107311131675,7.462703803784599
100.0,33.347046087225486,6.699984524997928,2.8883773732477698,7.462703803784599
100.0,33.347046087225486,7.462703803784599,2.5332903504650495,7.462703803784599
100.0,33.347046087225486,8.312250253001645,1.9407790045695907,7.462703803784599
100.0,33.347046087225486,9.258508187540041,1.2186010117465513,7.462703803784599
100.0,33.347046087225486,10.312487142430719,0.6200701808557287,7.462703803784599
100.0,33.347046087225486,11.486449966736501,0.2685300668929026,7.462703803784599
100.0,33.347046087225486,12.794055499519601,0.10737893981902333,7.462703803784599
100.0,33.347046087225486,14.250517487893111,0.04409722014413827,7.462703803784599
100.0,33.347046087225486,15.87278159613836,0.020691790506602973,7.462703803784599
100.0,33.347046087225486,17.679722565356304,0.011367279485341239,7.462703803784599
100.0,33.347046087225486,19.692363817568932,0.0068116902412294995,7.462703803784599
100.0,33.347046087225486,21.93412205932331,0.004118748475785584,7.462703803784599
100.0,33.347046087225486,24.431079730716,0.002406539183299263,7.462703803784599
100.0,33.347046087225486,27.21228846973129,0.001331872778612644,7.462703803784599
100.0,33.347046087225486,30.310107122644478,0.0006902199669760339,7.462703803784599
100.0,33.347046087225486,33.760578233178485,0.0003316555197055054,7.462703803784599
100.0,33.347046087225486,37.603847390794755,0.0001462251443911207,7.462703803784599
100.0,33.347046087225486,41.88463031715829,5.847356821727062e-5,7.462703803784599
100.0,33.347046087225486,46.652733125240424,2.093823114624375e-5,7.462703803784599
100.0,33.347046087225486,51.9636318041775,6.620124746116627e-6,7.462703803784599
100.0,33.347046087225486,57.879117672084135,1.8200046755302374e-6,7.462703803784599
100.0,33.347046087225486,64.468016306544,4.2782239362629624e-7,7.462703803784599
100.0,33.347046087225486,71.80698831740096,8.441629957773757e-8,7.462703803784599
100.0,33.347046087225486,79.98142127869323,1.370009054293534e-8,7.462703803784599
100.0,33.347046087225486,89.08642319719195,1.7880201955645176e-9,7.462703803784599
100.0,33.347046087225486,99.22792907636669,1.830272985819533e-10,7.462703803784599
100.0,33.347046087225486,110.52393345044318,1.4291679356524019e-11,7.462703803784599
100.0,33.347046087225486,123.10586322885784,8.253500946390336e-13,7.462703803784599
100.0,33.347046087225486,137.12010682389868,3.405555537599203e-14,7.462703803784599
100.0,33.347046087225486,152.72971735264952,9.625504315776358e-16,7.462703803784599
100.0,33.347046087225486,170.11630972967308,1.7632907376935575e-17,7.462703803784599
100.0,33.347046087225486,189.4821737227554,2.0769890986861939e-19,7.462703803784599
100.0,33.347046087225486,211.05262755672084,1.4575769567395586e-21,7.462703803784599
100.0,33.347046087225486,235.07863944906103,5.745289163203229e-24,7.462703803784599
100.0,33.347046087225486,261.83974757845556,1.1911236010089642e-26,7.462703803784599
100.0,33.347046087225486,291.64731245947826,1.2072610829162115e-29,7.462703803784599
100.0,33.347046087225486,324.84813956425916,0.0,7.462703803784599
100.0,33.347046087225486,361.82851433963526,0.0,7.462703803784599
100.0,33.347046087225486,403.0186965664617,0.0,7.462703803784599
100.0,33.347046087225486,448.89792635211717,0.0,7.462703803784599
100.0,33.347046087225486,499.99999999999994,0.0,7.462703803784599
1000.0,32.134073000534656,0.1,3.482218313061118,9.258508187540041
1000.0,32.134073000534656,0.1113838961260423,3.4822036656139033,9.258508187540041
1000.0,32.134073000534656,0.1240637231621698,3.482184887483742,9.258508187540041
1000.0,32.134073000534656,0.13818700853705185,3.4821608802413904,9.258508187540041
1000.0,32.134073000534656,0.15391807404859503,3.4821302551801914,9.258508187540041
1000.0,32.134073000534656,0.17143994771749196,3.482091254853116,9.258508187540041
1000.0,32.134073000534656,0.19095649328419248,3.4820416524343747,9.258508187540041
1000.0,32.134073000534656,0.21269478212559784,3.4819786222282465,9.258508187540041
1000.0,32.134073000534656,0.23690773518828787,3.481898572475721,9.258508187540041
1000.0,32.134073000534656,0.2638770656766819,3.481796928670588,9.258508187540041
1000.0,32.134073000534656,0.2939165567337638,3.481667851598638,9.258508187540041
1000.0,32.134073000534656,0.3273757122495756,3.481503868847569,9.258508187540041
1000.0,32.134073000534656,0.3646438232739584,3.481295391026525,9.258508187540041
1000.0,32.134073000534656,0.4061544973454951,3.4810300735778474,9.258508187540041
1000.0,32.134073000534656,0.4523907034345554,3.4806919707351724,9.258508187540041
1000.0,32.134073000534656,0.5038903911974172,3.4802604083256647,9.258508187540041
1000.0,32.134073000534656,0.5612527499204393,3.4797084746115035,9.258508187540041
1000.0,32.134073000534656,0.6251451799759381,3.4790009904141983,9.258508187540041
1000.0,32.134073000534656,0.6963110579013589,3.4780917678463785,9.258508187540041
1000.0,32.134073000534656,0.7755783854469959,3.4769198971062045,9.258508187540041
1000.0,32.134073000534656,0.8638694232223177,3.4754047095024903,9.258508187540041
1000.0,32.134073000534656,0.9622114210265871,3.4734389518791096,9.258508187540041
1000.0,32.134073000534656,1.0717485697091693,3.4708795820429175,9.258508187540041
1000.0,32.134073000534656,1.193755313617205,3.467535488864602,9.258508187540041
