rho,f_eff,f_obs_mean,f_obs_std,attn_A_mean,attn_A_std,diversity_mean,diversity_std
1.0,0.3108108108108108,0.49225806451612897,0.006974757519496667,0.3343552245764057,0.005842020979361666,0.5634871794871794,0.006683533889085048
2.0,0.4742268041237113,0.5367741935483872,0.005747912800388852,0.49539610331889267,0.0019059718496494322,0.5467435897435896,0.0045332796724982805
5.0,0.6927710843373494,0.6300000000000001,0.009237303911791199,0.7124773665363635,0.004460511246464092,0.5218717948717948,0.0012013032589869117
10.0,0.8185053380782918,0.6841935483870968,0.008640706603857334,0.8260090034005717,0.003347149110472951,0.5091538461538461,0.007371293182482713
20.0,0.9001956947162426,0.7616129032258065,0.004174896485659594,0.9095135976729404,0.0016953127166077033,0.47810256410256413,0.003209484219408894
50.0,0.9575353871773522,0.8058064516129031,0.008112758929006016,0.9598306092719889,0.0018632294125383428,0.4531538461538462,0.006495965470187973
100.0,0.9783071033602723,0.8283870967741935,0.0077015073460086035,0.9789623122627751,0.0015383144791237284,0.4460512820512821,0.004819558006911539
500.0,0.9955847978529997,0.8735483870967741,0.011994188672631101,0.9954045058876968,0.00013814821735236844,0.43328205128205133,0.0072192124411790785
