rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.3108108108108108,0.482258064516129,0.34068495756797706,0.5589743589743588
1.0,2,0.3108108108108108,0.48870967741935484,0.34056894235971974,0.5643589743589742
1.0,3,0.3108108108108108,0.4935483870967742,0.3309000034808429,0.5632051282051282
1.0,4,0.3108108108108108,0.5,0.3313284290648139,0.5567948717948717
1.0,5,0.3108108108108108,0.4967741935483871,0.328293790408675,0.574102564102564
2.0,1,0.4742268041237113,0.5451612903225806,0.49644748876430767,0.5487179487179485
2.0,2,0.4742268041237113,0.5370967741935484,0.4928251856258675,0.553205128205128
2.0,3,0.4742268041237113,0.5290322580645161,0.49745388031623855,0.5466666666666666
2.0,4,0.4742268041237113,0.535483870967742,0.49402321789169684,0.5416666666666665
2.0,5,0.4742268041237113,0.5370967741935484,0.4962307439963531,0.5434615384615382
5.0,1,0.6927710843373494,0.617741935483871,0.7174430191951586,0.5228205128205129
5.0,2,0.6927710843373494,0.6241935483870967,0.7158376208388482,0.5221794871794871
5.0,3,0.6927710843373494,0.6306451612903226,0.7128736633171749,0.5210256410256411
5.0,4,0.6927710843373494,0.6370967741935484,0.7097655306863726,0.5202564102564102
5.0,5,0.6927710843373494,0.6403225806451613,0.7064669986442634,0.523076923076923
10.0,1,0.8185053380782918,0.6725806451612903,0.8211689957152194,0.5156410256410258
10.0,2,0.8185053380782918,0.682258064516129,0.8260692978056527,0.5011538461538463
10.0,3,0.8185053380782918,0.6806451612903226,0.8306303485084329,0.5179487179487178
10.0,4,0.8185053380782918,0.6919354838709677,0.826001735140258,0.5035897435897436
10.0,5,0.8185053380782918,0.6935483870967742,0.8261746398332961,0.5074358974358973
20.0,1,0.9001956947162426,0.7612903225806451,0.9087552383473718,0.47807692307692307
20.0,2,0.9001956947162426,0.7629032258064516,0.9083624641430303,0.4734615384615385
20.0,3,0.9001956947162426,0.7548387096774194,0.9078874510793016,0.4817948717948717
20.0,4,0.9001956947162426,0.7661290322580645,0.9106892190958605,0.476923076923077
20.0,5,0.9001956947162426,0.7629032258064516,0.9118736156991375,0.4802564102564102
50.0,1,0.9575353871773522,0.7983870967741935,0.9619712166661663,0.45153846153846156
50.0,2,0.9575353871773522,0.7967741935483871,0.961668770380577,0.4619230769230769
50.0,3,0.9575353871773522,0.8064516129032258,0.9579057522216302,0.4457692307692308
50.0,4,0.9575353871773522,0.8145161290322581,0.9590393528312975,0.4491025641025642
50.0,5,0.9575353871773522,0.8129032258064516,0.9585679542602742,0.4574358974358974
100.0,1,0.9783071033602723,0.8403225806451613,0.9812349143521368,0.45153846153846156
100.0,2,0.9783071033602723,0.8306451612903226,0.9797605623671245,0.44987179487179485
100.0,3,0.9783071033602723,0.8274193548387097,0.9781730068789065,0.4457692307692308
100.0,4,0.9783071033602723,0.8225806451612904,0.9782895085947514,0.44346153846153846
100.0,5,0.9783071033602723,0.8209677419354838,0.9773535691209555,0.43961538461538474
500.0,1,0.9955847978529997,0.8838709677419355,0.995526084983661,0.43807692307692314
500.0,2,0.9955847978529997,0.882258064516129,0.99553190135049,0.42217948717948717
500.0,3,0.9955847978529997,0.8806451612903226,0.9954476397943597,0.4357692307692308
500.0,4,0.9955847978529997,0.8612903225806452,0.9952785069239414,0.43025641025641026
500.0,5,0.9955847978529997,0.8596774193548387,0.995238396386032,0.44012820512820516
